country_ISO3,v2x_libdem,v2elfemrst,v2elgvsuflvl,v2fsuffrage,v2pepwrses,v2pepwrgen,v2clgencl,v2peapsgen,v2peapsgeo,v2cacamps,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_civlib,v2x_clphy,v2x_clpol,v2x_clpriv,v2xpe_exlecon,v2xpe_exlgender,v2xpe_exlgeo,v2xpe_exlpol,v2xpe_exlsocgr,v2x_corr,v2x_gender,v2x_gencl,v2x_gencs,v2x_genpp,v2x_rule,v2smpolsoc,e_v2x_civlib_5C,e_v2x_clpol_5C,e_v2x_clpriv_5C,e_v2x_corr_5C,e_v2x_gencl_5C,e_v2x_gencs_5C,e_v2x_gender_5C,e_v2x_genpp_5C,e_v2x_libdem_5C,e_v2x_liberal_5C,e_wbgi_gee,e_wbgi_pve,e_peedgini,e_miferrat,e_pechmor,e_pematmor,e_wb_pop
MEX,0.406,,,100.0,0.83,1.068,1.134,0.179,-0.147,1.589,0.469,0.45,0.518,0.698,0.499,0.78,0.826,0.685,0.49,0.519,0.28,0.486,0.598,0.795,0.634,0.759,0.997,0.497,-1.827,0.75,0.75,1.0,0.5,0.75,0.75,0.75,1.0,0.5,0.5,-0.27,-0.791,,1.99,12.33,,125998302.0
SUR,0.641,2.0,8.0,100.0,0.617,1.664,1.494,1.31,1.381,-0.646,0.178,0.595,0.181,0.868,0.878,0.89,0.856,0.43,0.277,0.171,0.513,0.476,0.212,0.84,0.731,0.838,0.98,0.776,0.122,1.0,1.0,1.0,0.25,0.75,1.0,1.0,1.0,0.75,1.0,-0.578,0.419,,2.31,17.91,,607065.0
SWE,0.87,,,100.0,1.469,3.386,2.758,2.616,1.639,-1.924,0.013,0.051,0.005,0.963,0.99,0.966,0.943,0.032,0.023,0.067,0.016,0.02,0.008,0.934,0.943,0.877,1.0,0.994,1.049,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,0.997,,1.67,2.53,,10353442.0
CHE,0.856,,,100.0,1.29,2.699,2.355,2.449,2.347,-1.592,0.021,0.064,0.012,0.953,0.981,0.981,0.904,0.025,0.056,0.059,0.014,0.028,0.022,0.942,0.959,0.882,0.999,0.994,-0.744,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.973,1.176,,1.47,3.91,,8638167.0
GHA,0.606,2.0,8.0,100.0,0.663,1.082,1.91,1.684,-0.148,-0.472,0.355,0.621,0.695,0.915,0.928,0.921,0.913,0.179,0.113,0.414,0.305,0.26,0.631,0.818,0.843,0.783,0.841,0.557,-1.791,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,-0.197,0.17,,3.54,44.79,,32180401.0
ZAF,0.606,,,100.0,1.156,1.537,1.02,0.015,-0.641,0.356,0.216,0.308,0.393,0.829,0.824,0.879,0.806,0.473,0.364,0.49,0.339,0.49,0.404,0.831,0.743,0.762,0.998,0.729,-0.986,1.0,1.0,1.0,0.5,0.75,0.75,1.0,1.0,0.75,1.0,0.045,-0.253,,2.26,32.09,,58801927.0
JPN,0.748,,,100.0,1.396,1.028,1.295,2.801,2.958,-1.719,0.115,0.18,0.107,0.912,0.965,0.928,0.856,0.015,0.119,0.021,0.029,0.025,0.091,0.782,0.905,0.697,0.768,0.949,2.253,1.0,1.0,1.0,0.0,1.0,0.75,0.75,0.75,0.75,1.0,1.548,1.026,,1.3,2.34,,126261000.0
MMR,0.261,2.0,8.0,100.0,0.347,0.967,0.237,0.106,-1.314,0.807,0.417,0.383,0.314,0.494,0.491,0.658,0.325,0.576,0.485,0.671,0.589,0.75,0.383,0.647,0.406,0.684,0.856,0.587,-0.138,0.5,0.75,0.25,0.25,0.5,0.75,0.75,1.0,0.25,0.5,-1.014,-1.512,,2.18,43.64,,53423198.0
RUS,0.095,,,100.0,-1.039,-0.034,1.756,1.956,0.959,1.306,0.864,0.457,0.705,0.419,0.267,0.328,0.662,0.449,0.276,0.271,0.303,0.195,0.721,0.668,0.679,0.641,0.695,0.18,1.318,0.5,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.25,-0.111,-0.667,,1.51,6.52,,144073139.0
ALB,0.44,,,100.0,-0.12,1.41,1.762,1.4,1.498,-0.876,0.478,0.711,0.775,0.886,0.939,0.809,0.931,0.312,0.181,0.18,0.347,0.23,0.689,0.894,0.902,0.841,0.973,0.563,-0.204,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,-0.155,0.089,,1.37,8.52,,2837849.0
EGY,0.121,2.0,8.0,100.0,-0.23,-0.677,1.075,-0.508,-0.555,0.273,0.603,0.533,0.631,0.209,0.139,0.129,0.355,0.735,0.431,0.628,0.664,0.37,0.737,0.51,0.517,0.213,0.782,0.352,-1.268,0.25,0.0,0.25,0.75,0.5,0.25,0.5,0.75,0.0,0.25,-0.446,-1.182,,2.85,19.82,,107465134.0
YEM,0.034,,,0.0,-1.5,-1.832,-2.131,-2.089,-1.963,2.911,0.942,0.868,0.947,0.128,0.074,0.208,0.088,0.98,0.974,0.906,0.926,0.968,0.92,0.134,0.125,0.134,0.119,0.053,-1.82,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.362,-2.648,,4.6,54.58,,32284046.0
COL,0.497,,,100.0,-0.809,1.085,1.361,-0.542,-0.399,1.205,0.26,0.673,0.353,0.692,0.547,0.791,0.743,0.72,0.549,0.653,0.229,0.488,0.398,0.778,0.685,0.785,0.889,0.736,-2.232,0.75,0.75,0.75,0.25,0.75,0.75,0.75,1.0,0.5,0.75,0.009,-0.701,,1.69,13.48,,50930662.0
POL,0.449,2.0,8.0,100.0,2.018,1.891,2.043,2.317,1.772,3.03,0.282,0.222,0.115,0.832,0.884,0.777,0.851,0.074,0.115,0.109,0.178,0.093,0.123,0.84,0.83,0.723,0.983,0.765,-2.613,1.0,0.75,1.0,0.0,1.0,0.75,1.0,1.0,0.5,0.75,0.324,0.492,,1.38,4.13,,37899070.0
BRA,0.54,,,100.0,-0.399,0.559,2.365,1.698,0.915,2.285,0.333,0.366,0.66,0.683,0.461,0.811,0.79,0.312,0.077,0.119,0.047,0.21,0.536,0.764,0.715,0.827,0.772,0.644,-2.443,0.75,1.0,0.75,0.5,0.75,1.0,0.75,0.75,0.5,0.75,-0.465,-0.446,,1.65,13.47,,213196304.0
USA,0.725,2.0,8.0,100.0,0.885,2.424,2.486,2.106,2.009,2.127,0.082,0.091,0.087,0.913,0.897,0.947,0.91,0.114,0.071,0.066,0.017,0.146,0.088,0.912,0.936,0.828,0.99,0.938,-1.548,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.275,-0.027,,1.62,6.62,,331511512.0
PRT,0.807,,,100.0,1.425,2.594,3.163,3.123,2.04,-2.093,0.059,0.023,0.117,0.93,0.899,0.963,0.939,0.132,0.073,0.086,0.057,0.083,0.122,0.94,0.924,0.921,0.999,0.923,1.299,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.009,,1.41,3.46,,10297081.0
SLV,0.314,,,100.0,0.533,0.086,0.314,-0.665,-0.532,0.845,0.532,0.383,0.634,0.664,0.63,0.666,0.697,0.831,0.681,0.718,0.824,0.567,0.668,0.726,0.586,0.696,0.928,0.309,-1.217,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,0.25,0.5,-0.261,-0.115,,1.82,12.63,,6292731.0
BGD,0.097,,,100.0,-2.578,0.335,0.27,0.06,-1.846,1.422,0.867,0.598,0.838,0.399,0.176,0.358,0.656,0.881,0.597,0.856,0.919,0.676,0.896,0.672,0.576,0.618,0.829,0.113,-2.595,0.25,0.25,0.75,1.0,0.5,0.75,0.75,1.0,0.0,0.25,-0.78,-0.916,,2.18,27.7,,167420951.0
BOL,0.23,2.0,8.0,100.0,0.966,1.746,1.638,0.746,0.038,3.391,0.631,0.387,0.683,0.716,0.83,0.676,0.65,0.241,0.303,0.274,0.556,0.359,0.652,0.76,0.564,0.725,0.999,0.387,-2.923,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1.0,0.25,0.5,-0.726,-0.453,,2.65,25.44,,11936162.0
HTI,0.216,,,100.0,-0.883,-0.692,0.669,0.491,-2.232,0.309,0.817,0.821,0.9,0.638,0.632,0.685,0.62,0.921,0.596,0.881,0.433,0.734,0.848,0.363,0.396,0.371,0.31,0.147,-1.534,0.75,0.75,0.75,1.0,0.25,0.25,0.25,0.25,0.25,0.5,-2.113,-1.027,,2.8,61.56,,11306801.0
HND,0.232,,,100.0,-1.284,0.511,1.286,-0.671,-0.196,0.894,0.684,0.873,0.772,0.791,0.765,0.799,0.826,0.635,0.44,0.387,0.34,0.449,0.828,0.7,0.531,0.732,0.853,0.295,-2.246,0.75,0.75,1.0,1.0,0.5,0.75,0.75,1.0,0.25,0.5,-0.645,-0.449,,2.58,16.64,,10121763.0
MLI,0.268,2.0,8.0,0.0,0.302,1.115,1.081,-1.222,-0.852,1.121,0.592,0.481,0.758,0.76,0.754,0.798,0.742,0.66,0.639,0.691,0.565,0.53,0.809,0.717,0.669,0.661,0.843,0.395,-0.714,0.75,0.75,0.75,1.0,0.75,0.75,0.75,1.0,0.25,0.5,-1.187,-2.146,,5.85,92.36,,21224040.0
PAK,0.255,,,100.0,-1.094,0.987,0.789,-1.229,-0.929,-0.67,0.58,0.641,0.882,0.487,0.463,0.532,0.469,0.481,0.384,0.337,0.316,0.392,0.903,0.601,0.431,0.482,0.893,0.27,-0.509,0.5,0.5,0.5,1.0,0.5,0.5,0.75,1.0,0.25,0.5,-0.571,-1.793,,3.77,66.63,,227196741.0
PER,0.709,2.0,8.0,100.0,0.721,1.309,0.922,-0.206,-0.663,1.004,0.214,0.476,0.388,0.879,0.907,0.915,0.825,0.459,0.399,0.598,0.186,0.631,0.529,0.787,0.657,0.774,0.956,0.765,-0.272,1.0,1.0,1.0,0.5,0.75,0.75,0.75,1.0,0.75,1.0,-0.294,-0.358,,2.06,13.51,,33304756.0
SEN,0.574,,,100.0,0.963,1.467,1.436,0.533,0.18,-0.892,0.33,0.522,0.285,0.873,0.876,0.919,0.839,0.253,0.294,0.281,0.273,0.237,0.347,0.807,0.8,0.656,0.996,0.744,0.335,1.0,1.0,1.0,0.25,0.75,0.75,1.0,1.0,0.5,0.75,-0.061,-0.143,,4.0,40.34,,16436120.0
SSD,0.069,,,100.0,-1.281,-0.58,-1.126,-0.897,-1.858,0.636,0.904,0.887,0.909,0.179,0.154,0.182,0.196,0.954,0.796,0.926,0.818,0.946,0.93,0.462,0.096,0.47,0.81,0.078,-1.674,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,-2.316,-2.192,,4.16,96.28,,10606227.0
SDN,0.06,,,0.0,-1.275,-0.92,-0.134,-1.278,-1.32,0.716,0.761,0.43,0.72,0.345,0.366,0.426,0.239,0.819,0.876,0.796,0.711,0.85,0.741,0.289,0.197,0.423,0.232,0.232,-1.887,0.25,0.5,0.25,0.75,0.0,0.5,0.25,0.25,0.0,0.0,-1.54,-1.657,,4.54,57.77,,44440486.0
VNM,0.108,,,100.0,1.48,1.113,1.895,0.373,0.283,-0.794,0.673,0.147,0.373,0.407,0.625,0.12,0.468,0.291,0.295,0.375,0.435,0.342,0.488,0.693,0.513,0.627,0.95,0.319,1.992,0.5,0.0,0.5,0.5,0.5,0.75,0.75,1.0,0.0,0.25,0.194,-0.039,,1.96,20.04,,96648685.0
AFG,0.168,,,100.0,-0.959,0.341,-1.017,-1.547,-1.306,0.099,0.84,0.686,0.849,0.506,0.412,0.636,0.463,0.778,0.822,0.621,0.679,0.755,0.874,0.49,0.275,0.28,0.897,0.174,-1.343,0.5,0.75,0.5,1.0,0.25,0.25,0.5,1.0,0.0,0.25,-1.61,-2.703,,5.15,58.08,,38972230.0
ARG,0.644,,,100.0,1.948,1.676,3.554,1.307,1.206,1.88,0.333,0.458,0.521,0.886,0.9,0.914,0.86,0.346,0.082,0.186,0.085,0.124,0.48,0.839,0.773,0.761,0.997,0.623,-2.217,1.0,1.0,1.0,0.5,0.75,0.75,1.0,1.0,0.75,0.75,-0.254,-0.072,,1.6,9.4,,45376763.0
ETH,0.153,,,100.0,1.786,1.113,0.561,-0.196,-1.25,0.936,0.683,0.325,0.466,0.538,0.49,0.615,0.513,0.488,0.422,0.689,0.757,0.791,0.565,0.714,0.597,0.558,0.988,0.36,-0.973,0.5,0.75,0.5,0.5,0.5,0.5,0.75,1.0,0.0,0.25,-0.589,-1.754,,4.27,50.79,,117190911.0
IND,0.293,,,100.0,-0.115,0.869,0.79,-1.185,-0.377,1.565,0.424,0.529,0.661,0.549,0.568,0.459,0.619,0.444,0.481,0.489,0.285,0.629,0.661,0.664,0.648,0.544,0.815,0.458,-1.451,0.5,0.5,0.75,0.75,0.75,0.5,0.75,1.0,0.25,0.75,0.375,-0.841,,2.05,33.93,,1396387127.0
KEN,0.398,,,100.0,0.761,1.258,2.225,-0.325,-0.167,-0.198,0.382,0.562,0.647,0.682,0.517,0.832,0.704,0.352,0.324,0.461,0.303,0.416,0.612,0.755,0.641,0.703,0.926,0.628,-0.018,0.75,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.25,0.75,-0.399,-1.007,,3.36,38.55,,51985780.0
