Entity,Year,Estimated maternal mortality ratio,Population (historical)
Data source:,https://ourworldindata.org/grapher/the-maternal-mortality-ratio-in-2000-and-2017,https://ourworldindata.org/grapher/the-maternal-mortality-ratio-in-2000-and-2017,https://ourworldindata.org/grapher/the-maternal-mortality-ratio-in-2000-and-2017
AFG,1985,1910.3416,11426855
AFG,1986,1602.9429,11420074
AFG,1987,1586.7214,11387824
AFG,1988,1413.9326,11523299
AFG,1989,1382.7299,11874088
AFG,1990,1377.8586,12045664
AFG,1991,1392.7859,12238879
AFG,1992,1451.594,13278982
AFG,1993,1368.8162,14943174
AFG,1994,1375.0907,16250799
AFG,1995,1400.8431,17065836
AFG,1996,1375.5121,17763265
AFG,1997,1365.2854,18452100
AFG,1998,1459.2817,19159996
AFG,1999,1359.217,19887791
AFG,2000,1346.1442,20130334
AFG,2001,1273.4314,20284303
AFG,2002,1277.308,21378123
AFG,2003,1196.0907,22733054
AFG,2004,1114.8872,23560656
AFG,2005,1102.8097,24404574
AFG,2006,1044.4003,25424100
AFG,2007,1023.4955,25909852
AFG,2008,962.3215,26482629
AFG,2009,913.03577,27466101
AFG,2010,898.6692,28284088
AFG,2011,883.7139,29347709
AFG,2012,833.4772,30560036
AFG,2013,820.68536,31622708
AFG,2014,785.35406,32792527
AFG,2015,775.6927,33831765
AFG,2016,749.8157,34700614
AFG,2017,681.80756,35688942
AFG,2018,663.4275,36743040
AFG,2019,644.2726,37856126
AFG,2020,620.40753,39068978
AFG,-10000,,14737
AFG,-9000,,20405
AFG,-8000,,28253
AFG,-7000,,39120
AFG,-6000,,54166
AFG,-5000,,75000
AFG,-4000,,306250
AFG,-3000,,537500
AFG,-2000,,768750
AFG,-1000,,1000000
AFG,0,,2000000
AFG,100,,2250000
AFG,200,,2500000
AFG,300,,2500000
AFG,400,,2500000
AFG,500,,2500000
AFG,600,,2500000
AFG,700,,2425000
AFG,800,,2350000
AFG,900,,2300000
AFG,1000,,2250000
AFG,1100,,2375000
AFG,1200,,2500000
AFG,1300,,1750000
AFG,1400,,1875000
AFG,1500,,2000000
AFG,1600,,2500000
AFG,1700,,2500000
AFG,1710,,2561625
AFG,1720,,2619844
AFG,1730,,2679386
AFG,1740,,2740281
AFG,1750,,2802560
AFG,1760,,2866255
AFG,1770,,2931397
AFG,1780,,2998019
AFG,1790,,3066156
AFG,1800,,3280000
AFG,1801,,3280000
AFG,1802,,3280000
AFG,1803,,3280000
AFG,1804,,3280000
AFG,1805,,3280000
AFG,1806,,3280000
AFG,1807,,3280000
AFG,1808,,3280000
AFG,1809,,3280000
AFG,1810,,3280000
AFG,1811,,3280000
AFG,1812,,3280000
AFG,1813,,3280000
AFG,1814,,3280000
AFG,1815,,3280000
AFG,1816,,3280000
AFG,1817,,3280000
AFG,1818,,3280000
AFG,1819,,3282935
AFG,1820,,3288817
AFG,1821,,3297661
AFG,1822,,3309479
AFG,1823,,3324285
AFG,1824,,3339157
AFG,1825,,3354095
AFG,1826,,3369101
AFG,1827,,3384173
AFG,1828,,3399313
AFG,1829,,3414520
AFG,1830,,3429796
AFG,1831,,3445140
AFG,1832,,3460553
AFG,1833,,3476034
AFG,1834,,3491585
AFG,1835,,3507205
AFG,1836,,3522896
AFG,1837,,3538656
AFG,1838,,3554487
AFG,1839,,3570389
AFG,1840,,3586362
AFG,1841,,3602406
AFG,1842,,3618522
