Country Name,birthRatePer1000population
Aruba,10.807
Africa Eastern and Southern,34.5836148275797
Afghanistan,37.624
Africa Western and Central,36.0459008849184
Angola,40.057
Albania,10.898
Andorra,7.159
Arab World,25.3797481096521
United Arab Emirates,10.248
Argentina,15.332
Armenia,12.3
American Samoa,17.204
Antigua and Barbuda,10.822
Australia,12.6
Austria,9.7
Azerbaijan,14
Burundi,37.215
Belgium,10.4
Benin,36.955
Burkina Faso,36.006
Bangladesh,20.069
Bulgaria,9.3
Bahrain,13.641
"Bahamas, The",11.263
Bosnia and Herzegovina,8.803
Belarus,9.9
Belize,21.144
Bermuda,8.407
Bolivia,22.574
Brazil,14.022
Barbados,11.539
Brunei Darussalam,14.924
Bhutan,12.941
Botswana,25.897
Central African Republic,43.838
Canada,10.1
Central Europe and the Baltics,10.1154018577015
Switzerland,10.3
Channel Islands,8.5
Chile,11.698
China,10.86
Cote d'Ivoire,35.081
Cameroon,36.899
"Congo, Dem. Rep.",42.887
"Congo, Rep.",32.784
Colombia,14.195
Comoros,30.91
Cabo Verde,15.451
Costa Rica,13.622
Caribbean small states,16.6446968792491
Cuba,10.172
Curacao,10.5
Cayman Islands,10.584
Cyprus,11.029
Czechia,10.7
Germany,9.5
Djibouti,22.313
Dominica,11.636
Denmark,10.6
Dominican Republic,19.848
Algeria,24.063
East Asia & Pacific (excluding high income),12.8048408487262
Early-demographic dividend,20.2311354690886
East Asia & Pacific,12.2896392340449
Europe & Central Asia (excluding high income),16.0586311848263
Europe & Central Asia,11.6075198085436
Ecuador,17.523
"Egypt, Arab Rep.",23.592
Euro area,9.27605225658444
Eritrea,29.195
Spain,7.9
Estonia,10.9
Ethiopia,33.394
European Union,9.51036716488892
Fragile and conflict affected situations,32.7722132431681
Finland,8.6
Fiji,19.601
France,11.3
Faroe Islands,13.6
"Micronesia, Fed. Sts.",23.056
Gabon,30.537
United Kingdom,11
Georgia,14.334
Ghana,28.388
Gibraltar,12
Guinea,36.329
"Gambia, The",32.324
Guinea-Bissau,32.374
Equatorial Guinea,32.4
Greece,8.1
Grenada,12.395
Greenland,14.6
Guatemala,24.315
Guam,19.818
Guyana,21.236
High income,10.3790931866704
"Hong Kong SAR, China",7.2
Honduras,23.392
Heavily indebted poor countries (HIPC),36.1781933674505
Croatia,9
Haiti,24.222
Hungary,9.6
IBRD only,15.3422936820806
IDA & IBRD total,19.6000893652574
IDA total,31.5630654954739
IDA blend,31.5761212964231
Indonesia,17.146
IDA only,31.5564664531254
Isle of Man,8.995
India,17.91
Not classified,
Ireland,12.5
"Iran, Islamic Rep.",16.664
Iraq,27.664
Iceland,12
Israel,20.8
Italy,7.3
Jamaica,12.305
Jordan,22.677
Japan,7.4
Kazakhstan,21.702
Kenya,29.037
Kyrgyz Republic,27.1
Cambodia,23.372
Kiribati,28.112
St. Kitts and Nevis,13.108
"Korea, Rep.",6.4
Kuwait,12.825
Latin America & Caribbean (excluding high income),16.1175973936755
Lao PDR,23.599
Lebanon,18.09
Liberia,32.955
Libya,19.844
St. Lucia,11.979
Latin America & Caribbean,15.9751870127024
Least developed countries: UN classification,32.6425020268958
Low income,35.8618252390882
Liechtenstein,9.9
Sri Lanka,15.15
Lower middle income,22.456504655096
Low & middle income,19.9119204304361
Lesotho,27.361
Late-demographic dividend,11.8591588755416
Lithuania,9.5
Luxembourg,10.3
Latvia,10
"Macao SAR, China",9
St. Martin (French part),19.421
Morocco,18.573
Monaco,10.194
Moldova,13.275
Madagascar,33.651
Maldives,13.395
Middle East & North Africa,21.9632476818019
Mexico,17.037
Marshall Islands,24.066
Middle income,18.0975403406068
North Macedonia,10.3
Mali,42.585
Malta,9.2
Myanmar,18.054
Middle East & North Africa (excluding high income),22.6763970145762
Montenegro,11.6
Mongolia,24.5
Northern Mariana Islands,16.559
Mozambique,39.448
Mauritania,36.621
Mauritius,10.2
Malawi,33.227
Malaysia,14.808
North America,11.4466576109545
Namibia,29.067
New Caledonia,15.228
Niger,44.181
Nigeria,35.69
Nicaragua,21.209
Netherlands,9.8
Norway,10.4
Nepal,21.122
Nauru,30.66
New Zealand,11.84
OECD members,11.185165434409
Oman,19.269
Other small states,16.6054369606936
Pakistan,29.343
Panama,18.52
Peru,16.93
Philippines,19.418
Palau,12.004
Papua New Guinea,26.956
Poland,10.2
Pre-demographic dividend,36.5613236312586
Puerto Rico,6.7
"Korea, Dem. People's Rep.",13.427
Portugal,8.4
Paraguay,21.836
West Bank and Gaza,30.529
Pacific island small states,25.1624810049846
Post-demographic dividend,9.80955939238452
French Polynesia,12.812
Qatar,9.921
Romania,10.4
Russian Federation,10.9
Rwanda,31.231
South Asia,19.9049671003355
Saudi Arabia,19.739
Sudan,35.074
Senegal,31.596
Singapore,8.8
Solomon Islands,29.147
Sierra Leone,33.34
El Salvador,16.683
San Marino,6.8
Somalia,45.67
Serbia,9.2
Sub-Saharan Africa (excluding high income),35.1809041230776
South Sudan,29.068
Sub-Saharan Africa,35.1793279526512
Small states,17.7430894734909
Sao Tome and Principe,29.804
Suriname,18.092
Slovak Republic,10.6
Slovenia,9.4
Sweden,11.4
Eswatini,26.412
Sint Maarten (Dutch part),10.456
Seychelles,17.1
Syrian Arab Republic,18.932
Turks and Caicos Islands,12.511
Chad,44.401
East Asia & Pacific (IDA & IBRD countries),12.7971568955179
Europe & Central Asia (IDA & IBRD countries),13.5432629431027
Togo,33.413
Thailand,9.4
Tajikistan,29.459
Turkmenistan,25.502
Latin America & the Caribbean (IDA & IBRD countries),16.1353180843437
Timor-Leste,24.481
Middle East & North Africa (IDA & IBRD countries),22.5867452125018
Tonga,24.144
South Asia (IDA & IBRD),19.9049671003355
Sub-Saharan Africa (IDA & IBRD countries),35.1793279526512
Trinidad and Tobago,12.06
Tunisia,17.344
Turkiye,15.4
Tuvalu,24.927
Tanzania,37.335
Uganda,37.673
Ukraine,8.125
Upper middle income,13.5362236947182
Uruguay,11.687
United States,11.6
Uzbekistan,24.007
St. Vincent and the Grenadines,13.678
"Venezuela, RB",17.33
British Virgin Islands,6.982
Virgin Islands (U.S.),12.6
Viet Nam,15.438
Vanuatu,31.429
World,18.1937123115695
Samoa,28.488
Kosovo,12.736
"Yemen, Rep.",36.046
South Africa,19.85
Zambia,35.464
Zimbabwe,31.327
