Country,Maternal_mortality_ratio
Afghanistan,663.4275
Africa,487.91956
Africa (UN),
Albania,5.4292927
Algeria,79.49121
American Samoa,
Americas (UN),
Andorra,
Angola,233.09625
Anguilla,
Antigua and Barbuda,18.86736
Argentina,33.94483
Armenia,25.101397
Aruba,
Asia,104.967354
Asia (UN),
Asia (excl. China and India),
Australia,4.424252
Austria,5.826252
Azerbaijan,27.599777
Bahamas,77.080315
Bahrain,13.7449465
Bangladesh,172.13548
Barbados,47.097385
Belarus,1.1116852
Belgium,4.90796
Belize,78.44683
Benin,542.4605
Bermuda,
Bhutan,57.318043
Bolivia,171.43248
Bonaire Sint Eustatius and Saba,
Bosnia and Herzegovina,5.5474706
Botswana,162.26726
Brazil,59.183395
British Virgin Islands,
Brunei,44.928795
Bulgaria,7.167728
Burkina Faso,276.62408
Burundi,517.9052
Cambodia,209.22379
Cameroon,423.89328
Canada,11.000969
Cape Verde,48.023323
Cayman Islands,
Central African Republic,867.63416
Chad,1076.1641
Chile,15.135506
China,20.355984
Colombia,63.146347
Comoros,243.56516
Congo,370.06052
Cook Islands,
Costa Rica,17.989922
Cote d'Ivoire,522.2657
Croatia,4.890743
Cuba,38.607304
Curacao,
Cyprus,58.516308
Czechia,3.1841486
Democratic Republic of Congo,543.47815
Denmark,5.013271
Djibouti,256.895
Dominica,
Dominican Republic,109.27616
East Timor,249.48761
Ecuador,71.337585
Egypt,19.053669
El Salvador,44.65384
Equatorial Guinea,219.04198
Eritrea,337.75058
Estonia,5.368494
Eswatini,218.30118
Ethiopia,311.85242
Europe,7.176001
Europe (UN),
Europe (excl. Russia),
European Union (27),
Falkland Islands,
Faroe Islands,
Fiji,36.582302
Finland,7.6740785
France,7.802404
French Guiana,
French Polynesia,
Gabon,228.56612
Gambia,511.59033
Georgia,26.21116
Germany,4.7063684
Ghana,272.81525
Gibraltar,
Greece,5.6988354
Greenland,
Grenada,21.082874
Guadeloupe,
Guam,
Guatemala,98.41375
Guernsey,
Guinea,567.718
Guinea-Bissau,648.2358
Guyana,117.705696
Haiti,358.7682
High-income countries,11.59503
Honduras,65.09502
Hong Kong,
Hungary,14.581458
Iceland,2.8032403
India,115.7112
Indonesia,181.13231
Iran,17.439306
Iraq,71.92842
Ireland,5.4302154
Isle of Man,
Israel,2.666812
Italy,4.8875346
Jamaica,90.51271
Japan,5.194234
Jersey,
Jordan,41.6902
Kazakhstan,13.802158
Kenya,511.50998
Kiribati,110.35632
Kosovo,
Kuwait,6.782403
Kyrgyzstan,53.67608
Laos,165.27107
Latin America and the Caribbean (UN),
Latvia,23.367216
Lebanon,17.85494
Lesotho,598.6392
Liberia,683.75757
Libya,69.01573
Liechtenstein,
Lithuania,7.84595
Low-income countries,422.18454
Lower-middle-income countries,262.69165
Luxembourg,6.626671
Macao,
Madagascar,423.27182
Malawi,391.79285
Malaysia,21.516418
Maldives,48.531975
Mali,439.5398
Malta,4.053976
Marshall Islands,
Martinique,
Mauritania,461.18158
Mauritius,50.344814
Mayotte,
Mexico,55.528206
Micronesia (country),68.88322
Moldova,14.480334
Monaco,
Mongolia,42.204525
Montenegro,5.3853955
Montserrat,
Morocco,78.01027
Mozambique,160.25722
Myanmar,214.53392
Namibia,217.95181
Nauru,
Nepal,201.15369
Netherlands,3.9909272
New Caledonia,
New Zealand,7.88525
Nicaragua,74.43286
Niger,431.96274
Nigeria,1135.4136
Niue,
North America,49.94429
North Korea,107.161026
North Macedonia,2.879425
Northern America (UN),
Northern Mariana Islands,
Norway,1.9932039
Oceania,82.51404
Oceania (UN),
Oman,15.868879
Pakistan,177.72769
Palau,
Palestine,20.956968
Panama,47.07842
Papua New Guinea,199.06436
Paraguay,69.763466
Peru,62.554718
Philippines,82.29472
Poland,1.865067
Portugal,10.980132
Puerto Rico,17.928343
Qatar,6.29586
Reunion,
Romania,11.401431
Russia,8.779488
Rwanda,281.36148
Saint Barthelemy,
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,61.20825
Saint Martin (French part),
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,59.866055
Samoa,58.08098
San Marino,
Sao Tome and Principe,149.1564
Saudi Arabia,16.778631
Senegal,277.48837
Serbia,11.469519
Seychelles,3.5403209
Sierra Leone,459.50473
Singapore,6.6709085
Sint Maarten (Dutch part),
Slovakia,4.650179
Slovenia,4.366176
Solomon Islands,127.143265
Somalia,650.67755
South Africa,125.39751
South America,71.170906
South America (excl. Brazil),
South Korea,6.411811
South Sudan,1274.817
Spain,4.0544796
Sri Lanka,30.29092
Sudan,292.99188
Suriname,97.626686
Svalbard and Jan Mayen,
Sweden,4.534765
Switzerland,7.4348674
Syria,31.331284
Taiwan,
Tajikistan,17.351973
Tanzania,266.82196
Thailand,28.804407
Togo,434.5416
Tokelau,
Tonga,83.91316
Trinidad and Tobago,27.612192
Tunisia,39.022385
Turkey,16.87219
Turkmenistan,5.000818
Turks and Caicos Islands,
Tuvalu,
Uganda,283.32196
Ukraine,11.274244
United Arab Emirates,9.046694
United Kingdom,9.209214
United States,19.452078
United States Virgin Islands,
Upper-middle-income countries,39.870316
Uruguay,18.063942
Uzbekistan,30.710342
Vanuatu,96.58236
Vatican,
Venezuela,179.33174
Vietnam,51.061047
Wallis and Futuna,
Western Sahara,
World,215.09969
Yemen,175.63083
Zambia,144.87115
Zimbabwe,358.5035
