Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,1.536,"At least Bachelor's or equivalent, female"
Albania,ALB,2022,21.361,"At least Bachelor's or equivalent, female"
Algeria,DZA,2019,12.851,"At least Bachelor's or equivalent, female"
Andorra,AND,2022,26.07,"At least Bachelor's or equivalent, female"
Angola,AGO,2021,0.0,"At least Bachelor's or equivalent, female"
Antigua and Barbuda,ATG,2021,12.745,"At least Bachelor's or equivalent, female"
Armenia,ARM,2022,28.606,"At least Bachelor's or equivalent, female"
Aruba,ABW,2010,12.84,"At least Bachelor's or equivalent, female"
Australia,AUS,2023,38.907,"At least Bachelor's or equivalent, female"
Austria,AUT,2021,16.645,"At least Bachelor's or equivalent, female"
Azerbaijan,AZE,2023,16.28,"At least Bachelor's or equivalent, female"
"Bahamas, The",BHS,2010,17.48,"At least Bachelor's or equivalent, female"
Bahrain,BHR,2023,38.77,"At least Bachelor's or equivalent, female"
Bangladesh,BGD,2022,5.076,"At least Bachelor's or equivalent, female"
Barbados,BRB,2000,1.14,"At least Bachelor's or equivalent, female"
Belarus,BLR,2019,29.87,"At least Bachelor's or equivalent, female"
Belgium,BEL,2022,41.255,"At least Bachelor's or equivalent, female"
Belize,BLZ,2021,4.691,"At least Bachelor's or equivalent, female"
Benin,BEN,2022,2.446,"At least Bachelor's or equivalent, female"
Bermuda,BMU,2016,33.81,"At least Bachelor's or equivalent, female"
Bhutan,BTN,2017,7.39,"At least Bachelor's or equivalent, female"
Bolivia,BOL,2023,18.252,"At least Bachelor's or equivalent, female"
Bosnia and Herzegovina,BIH,2023,11.661,"At least Bachelor's or equivalent, female"
Botswana,BWA,2023,9.298,"At least Bachelor's or equivalent, female"
Brazil,BRA,2018,18.29,"At least Bachelor's or equivalent, female"
Brunei Darussalam,BRN,2022,20.4,"At least Bachelor's or equivalent, female"
Bulgaria,BGR,2022,30.285,"At least Bachelor's or equivalent, female"
Burkina Faso,BFA,2023,1.448,"At least Bachelor's or equivalent, female"
Burundi,BDI,2017,0.47,"At least Bachelor's or equivalent, female"
Cabo Verde,CPV,2015,7.01,"At least Bachelor's or equivalent, female"
Cambodia,KHM,2021,3.237,"At least Bachelor's or equivalent, female"
Cameroon,CMR,2018,4.285,"At least Bachelor's or equivalent, female"
Canada,CAN,2023,34.427,"At least Bachelor's or equivalent, female"
Cayman Islands,CYM,2015,32.58,"At least Bachelor's or equivalent, female"
Central African Republic,CAF,2019,1.058,"At least Bachelor's or equivalent, female"
Chad,TCD,2019,0.629,"At least Bachelor's or equivalent, female"
Chile,CHL,2023,20.935,"At least Bachelor's or equivalent, female"
China,CHN,2020,7.4,"At least Bachelor's or equivalent, female"
Colombia,COL,2023,16.965,"At least Bachelor's or equivalent, female"
Comoros,COM,2022,10.376,"At least Bachelor's or equivalent, female"
"Congo, Dem. Rep.",COD,2018,4.444,"At least Bachelor's or equivalent, female"
"Congo, Rep.",COG,2015,4.036,"At least Bachelor's or equivalent, female"
Costa Rica,CRI,2020,22.53,"At least Bachelor's or equivalent, female"
Cote d'Ivoire,CIV,2022,3.065,"At least Bachelor's or equivalent, female"
Croatia,HRV,2022,21.04,"At least Bachelor's or equivalent, female"
