Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,5.705,"At least completed upper secondary, female"
Albania,ALB,2022,48.63,"At least completed upper secondary, female"
Algeria,DZA,2019,24.827,"At least completed upper secondary, female"
American Samoa,ASM,1980,37.4,"At least completed upper secondary, female"
Andorra,AND,2022,60.34,"At least completed upper secondary, female"
Angola,AGO,2021,15.26,"At least completed upper secondary, female"
Antigua and Barbuda,ATG,2021,80.991,"At least completed upper secondary, female"
Argentina,ARG,2003,43.91,"At least completed upper secondary, female"
Armenia,ARM,2022,95.894,"At least completed upper secondary, female"
Aruba,ABW,2010,32.07,"At least completed upper secondary, female"
Australia,AUS,2023,77.373,"At least completed upper secondary, female"
Austria,AUT,2023,79.06,"At least completed upper secondary, female"
Azerbaijan,AZE,2023,91.05,"At least completed upper secondary, female"
"Bahamas, The",BHS,2023,93.929,"At least completed upper secondary, female"
Bahrain,BHR,2023,79.14,"At least completed upper secondary, female"
Bangladesh,BGD,2022,25.625,"At least completed upper secondary, female"
Barbados,BRB,2019,34.085,"At least completed upper secondary, female"
Belarus,BLR,2023,98.18,"At least completed upper secondary, female"
Belgium,BEL,2022,74.081,"At least completed upper secondary, female"
Belize,BLZ,2020,45.83,"At least completed upper secondary, female"
Benin,BEN,2022,5.864,"At least completed upper secondary, female"
Bermuda,BMU,2016,89.29,"At least completed upper secondary, female"
Bhutan,BTN,2017,13.78,"At least completed upper secondary, female"
Bolivia,BOL,2023,48.857,"At least completed upper secondary, female"
Bosnia and Herzegovina,BIH,2023,62.85,"At least completed upper secondary, female"
Botswana,BWA,2023,44.421,"At least completed upper secondary, female"
Brazil,BRA,2023,61.503,"At least completed upper secondary, female"
British Virgin Islands,VGB,1991,21.27,"At least completed upper secondary, female"
Brunei Darussalam,BRN,2022,68.135,"At least completed upper secondary, female"
Bulgaria,BGR,2022,78.035,"At least completed upper secondary, female"
Burkina Faso,BFA,2023,3.31,"At least completed upper secondary, female"
Burundi,BDI,2017,3.84,"At least completed upper secondary, female"
Cabo Verde,CPV,2015,19.81,"At least completed upper secondary, female"
Cambodia,KHM,2021,8.218,"At least completed upper secondary, female"
Cameroon,CMR,2018,10.265,"At least completed upper secondary, female"
Canada,CAN,2023,90.051,"At least completed upper secondary, female"
Cayman Islands,CYM,2015,90.72,"At least completed upper secondary, female"
Central African Republic,CAF,2019,3.26,"At least completed upper secondary, female"
Chad,TCD,2019,1.841,"At least completed upper secondary, female"
Chile,CHL,2023,68.229,"At least completed upper secondary, female"
China,CHN,2020,29.51,"At least completed upper secondary, female"
Colombia,COL,2023,58.144,"At least completed upper secondary, female"
Comoros,COM,2022,19.196,"At least completed upper secondary, female"
"Congo, Dem. Rep.",COD,2020,4.414,"At least completed upper secondary, female"
"Congo, Rep.",COG,2015,13.657,"At least completed upper secondary, female"
Costa Rica,CRI,2023,40.924,"At least completed upper secondary, female"
Cote d'Ivoire,CIV,2022,9.273,"At least completed upper secondary, female"
Croatia,HRV,2022,75.285,"At least completed upper secondary, female"
Cuba,CUB,2019,55.831,"At least completed upper secondary, female"
Curacao,CUW,2020,53.24,"At least completed upper secondary, female"
Cyprus,CYP,2022,77.031,"At least completed upper secondary, female"
Czechia,CZE,2022,88.188,"At least completed upper secondary, female"
Denmark,DNK,2022,77.253,"At least completed upper secondary, female"
Djibouti,DJI,2017,9.736,"At least completed upper secondary, female"
Dominica,DMA,2021,51.105,"At least completed upper secondary, female"
Dominican Republic,DOM,2023,40.861,"At least completed upper secondary, female"
Ecuador,ECU,2022,44.98,"At least completed upper secondary, female"
"Egypt, Arab Rep.",EGY,2022,49.423,"At least completed upper secondary, female"
El Salvador,SLV,2023,32.49,"At least completed upper secondary, female"
Estonia,EST,2022,88.285,"At least completed upper secondary, female"
Eswatini,SWZ,2023,18.692,"At least completed upper secondary, female"
