Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,6.56,"At least Bachelor's or equivalent, male"
Albania,ALB,2022,18.239,"At least Bachelor's or equivalent, male"
Algeria,DZA,2019,10.036,"At least Bachelor's or equivalent, male"
Andorra,AND,2022,24.0,"At least Bachelor's or equivalent, male"
Angola,AGO,2021,0.24,"At least Bachelor's or equivalent, male"
Antigua and Barbuda,ATG,2021,10.973,"At least Bachelor's or equivalent, male"
Armenia,ARM,2022,27.897,"At least Bachelor's or equivalent, male"
Aruba,ABW,2010,12.8,"At least Bachelor's or equivalent, male"
Australia,AUS,2023,32.477,"At least Bachelor's or equivalent, male"
Austria,AUT,2021,16.563,"At least Bachelor's or equivalent, male"
Azerbaijan,AZE,2023,19.19,"At least Bachelor's or equivalent, male"
"Bahamas, The",BHS,2010,12.69,"At least Bachelor's or equivalent, male"
Bahrain,BHR,2023,24.8,"At least Bachelor's or equivalent, male"
Bangladesh,BGD,2022,10.084,"At least Bachelor's or equivalent, male"
Barbados,BRB,2000,0.97,"At least Bachelor's or equivalent, male"
Belarus,BLR,2019,26.34,"At least Bachelor's or equivalent, male"
Belgium,BEL,2022,37.423,"At least Bachelor's or equivalent, male"
Belize,BLZ,2021,4.202,"At least Bachelor's or equivalent, male"
Benin,BEN,2022,7.587,"At least Bachelor's or equivalent, male"
Bermuda,BMU,2016,28.12,"At least Bachelor's or equivalent, male"
Bhutan,BTN,2017,12.67,"At least Bachelor's or equivalent, male"
Bolivia,BOL,2023,17.48,"At least Bachelor's or equivalent, male"
Bosnia and Herzegovina,BIH,2023,10.866,"At least Bachelor's or equivalent, male"
Botswana,BWA,2023,10.049,"At least Bachelor's or equivalent, male"
Brazil,BRA,2018,14.55,"At least Bachelor's or equivalent, male"
Brunei Darussalam,BRN,2022,15.054,"At least Bachelor's or equivalent, male"
Bulgaria,BGR,2022,22.104,"At least Bachelor's or equivalent, male"
Burkina Faso,BFA,2023,3.286,"At least Bachelor's or equivalent, male"
Burundi,BDI,2017,1.4,"At least Bachelor's or equivalent, male"
Cabo Verde,CPV,2015,6.83,"At least Bachelor's or equivalent, male"
Cambodia,KHM,2021,6.172,"At least Bachelor's or equivalent, male"
Cameroon,CMR,2018,8.84,"At least Bachelor's or equivalent, male"
Canada,CAN,2023,31.295,"At least Bachelor's or equivalent, male"
Cayman Islands,CYM,2015,27.09,"At least Bachelor's or equivalent, male"
Central African Republic,CAF,2019,2.663,"At least Bachelor's or equivalent, male"
Chad,TCD,2019,3.125,"At least Bachelor's or equivalent, male"
Chile,CHL,2023,22.19,"At least Bachelor's or equivalent, male"
China,CHN,2020,7.95,"At least Bachelor's or equivalent, male"
Colombia,COL,2023,15.925,"At least Bachelor's or equivalent, male"
Comoros,COM,2022,18.101,"At least Bachelor's or equivalent, male"
