Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,19.849,"At least completed upper secondary, male"
Afghanistan,AFG,2021,12.1,"At least completed upper secondary, male"
Albania,ALB,2022,58.119,"At least completed upper secondary, male"
Algeria,DZA,2019,23.397,"At least completed upper secondary, male"
American Samoa,ASM,1980,46.61,"At least completed upper secondary, male"
Andorra,AND,2022,62.1,"At least completed upper secondary, male"
Angola,AGO,2021,29.633,"At least completed upper secondary, male"
Antigua and Barbuda,ATG,2021,65.828,"At least completed upper secondary, male"
Argentina,ARG,2003,40.34,"At least completed upper secondary, male"
Armenia,ARM,2022,95.158,"At least completed upper secondary, male"
Aruba,ABW,2010,32.09,"At least completed upper secondary, male"
Australia,AUS,2023,80.628,"At least completed upper secondary, male"
Austria,AUT,2023,86.495,"At least completed upper secondary, male"
Azerbaijan,AZE,2023,92.63,"At least completed upper secondary, male"
"Bahamas, The",BHS,2023,87.886,"At least completed upper secondary, male"
Bahrain,BHR,2023,60.28,"At least completed upper secondary, male"
Bangladesh,BGD,2022,33.027,"At least completed upper secondary, male"
Barbados,BRB,2019,29.752,"At least completed upper secondary, male"
Belarus,BLR,2023,97.55,"At least completed upper secondary, male"
Belgium,BEL,2022,76.223,"At least completed upper secondary, male"
Belize,BLZ,2020,40.74,"At least completed upper secondary, male"
Benin,BEN,2022,16.416,"At least completed upper secondary, male"
Bermuda,BMU,2016,85.43,"At least completed upper secondary, male"
Bhutan,BTN,2017,20.42,"At least completed upper secondary, male"
Bolivia,BOL,2023,55.58,"At least completed upper secondary, male"
Bosnia and Herzegovina,BIH,2023,81.853,"At least completed upper secondary, male"
Botswana,BWA,2023,47.731,"At least completed upper secondary, male"
Brazil,BRA,2023,58.569,"At least completed upper secondary, male"
British Virgin Islands,VGB,1991,19.26,"At least completed upper secondary, male"
Brunei Darussalam,BRN,2022,69.331,"At least completed upper secondary, male"
Bulgaria,BGR,2022,80.731,"At least completed upper secondary, male"
Burkina Faso,BFA,2023,7.563,"At least completed upper secondary, male"
Burundi,BDI,2017,7.57,"At least completed upper secondary, male"
Cabo Verde,CPV,2015,20.29,"At least completed upper secondary, male"
Cambodia,KHM,2021,15.548,"At least completed upper secondary, male"
Cameroon,CMR,2018,18.774,"At least completed upper secondary, male"
Canada,CAN,2023,89.073,"At least completed upper secondary, male"
Cayman Islands,CYM,2015,89.66,"At least completed upper secondary, male"
Central African Republic,CAF,2019,8.267,"At least completed upper secondary, male"
Chad,TCD,2019,7.855,"At least completed upper secondary, male"
Chile,CHL,2023,68.634,"At least completed upper secondary, male"
China,CHN,2020,33.99,"At least completed upper secondary, male"
Colombia,COL,2023,55.777,"At least completed upper secondary, male"
Comoros,COM,2022,26.744,"At least completed upper secondary, male"
"Congo, Dem. Rep.",COD,2020,11.188,"At least completed upper secondary, male"
"Congo, Rep.",COG,2015,27.045,"At least completed upper secondary, male"
Costa Rica,CRI,2023,38.857,"At least completed upper secondary, male"
Cote d'Ivoire,CIV,2022,19.563,"At least completed upper secondary, male"
Croatia,HRV,2022,85.174,"At least completed upper secondary, male"
Cuba,CUB,2019,54.781,"At least completed upper secondary, male"
Curacao,CUW,2020,48.11,"At least completed upper secondary, male"
Cyprus,CYP,2022,78.33,"At least completed upper secondary, male"
Czechia,CZE,2022,94.32,"At least completed upper secondary, male"
Denmark,DNK,2022,76.336,"At least completed upper secondary, male"
Djibouti,DJI,2017,22.031,"At least completed upper secondary, male"
Dominica,DMA,2021,53.861,"At least completed upper secondary, male"
Dominican Republic,DOM,2023,30.519,"At least completed upper secondary, male"
Ecuador,ECU,2022,45.85,"At least completed upper secondary, male"
"Egypt, Arab Rep.",EGY,2022,59.162,"At least completed upper secondary, male"
El Salvador,SLV,2023,35.47,"At least completed upper secondary, male"
Estonia,EST,2022,84.386,"At least completed upper secondary, male"
Eswatini,SWZ,2023,20.244,"At least completed upper secondary, male"
Ethiopia,ETH,2021,15.555,"At least completed upper secondary, male"
Fiji,FJI,2021,25.769,"At least completed upper secondary, male"
Finland,FIN,2022,80.135,"At least completed upper secondary, male"
France,FRA,2023,79.537,"At least completed upper secondary, male"
French Polynesia,PYF,2007,48.44,"At least completed upper secondary, male"
"Gambia, The",GMB,2023,35.52,"At least completed upper secondary, male"
Georgia,GEO,2023,93.773,"At least completed upper secondary, male"
Germany,DEU,2022,83.325,"At least completed upper secondary, male"
Ghana,GHA,2022,30.442,"At least completed upper secondary, male"
Greece,GRC,2022,70.743,"At least completed upper secondary, male"
Grenada,GRD,2020,46.714,"At least completed upper secondary, male"
Guatemala,GTM,2023,18.532,"At least completed upper secondary, male"
Guinea,GIN,2019,37.264,"At least completed upper secondary, male"
Guinea-Bissau,GNB,2022,22.68,"At least completed upper secondary, male"
Guyana,GUY,2019,33.834,"At least completed upper secondary, male"
Haiti,HTI,2017,15.002,"At least completed upper secondary, male"
Honduras,HND,2023,18.371,"At least completed upper secondary, male"
"Hong Kong SAR, China",HKG,2023,67.891,"At least completed upper secondary, male"
Hungary,HUN,2022,85.772,"At least completed upper secondary, male"
Iceland,ISL,2022,79.515,"At least completed upper secondary, male"
India,IND,2023,40.15,"At least completed upper secondary, male"
Indonesia,IDN,2023,42.234,"At least completed upper secondary, male"
"Iran, Islamic Rep.",IRN,2022,47.293,"At least completed upper secondary, male"
Iraq,IRQ,2021,28.586,"At least completed upper secondary, male"
Ireland,IRL,2022,77.963,"At least completed upper secondary, male"
Israel,ISR,2022,85.182,"At least completed upper secondary, male"
Italy,ITA,2022,52.775,"At least completed upper secondary, male"
Jamaica,JAM,2022,52.05,"At least completed upper secondary, male"
Japan,JPN,2020,86.09,"At least completed upper secondary, male"
Jordan,JOR,2023,43.6,"At least completed upper secondary, male"
Kazakhstan,KAZ,2019,94.687,"At least completed upper secondary, male"
Kenya,KEN,2022,43.351,"At least completed upper secondary, male"
Kiribati,KIR,2020,43.671,"At least completed upper secondary, male"
"Korea, Dem. People's Rep.",PRK,2022,85.66,"At least completed upper secondary, male"
"Korea, Rep.",KOR,2023,86.513,"At least completed upper secondary, male"
Kuwait,KWT,2018,27.14,"At least completed upper secondary, male"
Kyrgyz Republic,KGZ,2018,66.277,"At least completed upper secondary, male"
Lao PDR,LAO,2022,28.498,"At least completed upper secondary, male"
Latvia,LVA,2023,64.211,"At least completed upper secondary, male"
Lebanon,LBN,2019,42.381,"At least completed upper secondary, male"
Lesotho,LSO,2019,6.986,"At least completed upper secondary, male"
Liberia,LBR,2019,36.482,"At least completed upper secondary, male"
Libya,LBY,1984,12.97,"At least completed upper secondary, male"
Liechtenstein,LIE,2000,80.88,"At least completed upper secondary, male"
Lithuania,LTU,2022,91.605,"At least completed upper secondary, male"
Luxembourg,LUX,2022,79.325,"At least completed upper secondary, male"
"Macao SAR, China",MAC,2016,53.18,"At least completed upper secondary, male"
Madagascar,MDG,2021,10.593,"At least completed upper secondary, male"
Malawi,MWI,2020,17.565,"At least completed upper secondary, male"
Malaysia,MYS,2022,70.34,"At least completed upper secondary, male"
Maldives,MDV,2019,29.4,"At least completed upper secondary, male"
Mali,MLI,2022,12.953,"At least completed upper secondary, male"
Malta,MLT,2022,55.393,"At least completed upper secondary, male"
Marshall Islands,MHL,2021,49.802,"At least completed upper secondary, male"
