Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,3.984,"At least Bachelor's or equivalent, total"
Albania,ALB,2022,19.835,"At least Bachelor's or equivalent, total"
Algeria,DZA,2019,11.436,"At least Bachelor's or equivalent, total"
Andorra,AND,2022,25.04,"At least Bachelor's or equivalent, total"
Angola,AGO,2021,0.126,"At least Bachelor's or equivalent, total"
Antigua and Barbuda,ATG,2021,11.894,"At least Bachelor's or equivalent, total"
Armenia,ARM,2022,28.291,"At least Bachelor's or equivalent, total"
Aruba,ABW,2010,12.82,"At least Bachelor's or equivalent, total"
Australia,AUS,2023,35.765,"At least Bachelor's or equivalent, total"
Austria,AUT,2021,16.605,"At least Bachelor's or equivalent, total"
Azerbaijan,AZE,2023,17.67,"At least Bachelor's or equivalent, total"
"Bahamas, The",BHS,2010,15.23,"At least Bachelor's or equivalent, total"
Bahrain,BHR,2023,29.58,"At least Bachelor's or equivalent, total"
Bangladesh,BGD,2022,7.572,"At least Bachelor's or equivalent, total"
Barbados,BRB,2000,1.06,"At least Bachelor's or equivalent, total"
Belarus,BLR,2019,28.3,"At least Bachelor's or equivalent, total"
Belgium,BEL,2022,39.385,"At least Bachelor's or equivalent, total"
Belize,BLZ,2021,4.45,"At least Bachelor's or equivalent, total"
Benin,BEN,2022,4.792,"At least Bachelor's or equivalent, total"
Bermuda,BMU,2016,31.11,"At least Bachelor's or equivalent, total"
Bhutan,BTN,2017,10.2,"At least Bachelor's or equivalent, total"
Bolivia,BOL,2023,17.877,"At least Bachelor's or equivalent, total"
Bosnia and Herzegovina,BIH,2023,11.276,"At least Bachelor's or equivalent, total"
Botswana,BWA,2023,9.646,"At least Bachelor's or equivalent, total"
Brazil,BRA,2018,16.54,"At least Bachelor's or equivalent, total"
Brunei Darussalam,BRN,2022,17.575,"At least Bachelor's or equivalent, total"
Bulgaria,BGR,2022,26.398,"At least Bachelor's or equivalent, total"
Burkina Faso,BFA,2023,2.291,"At least Bachelor's or equivalent, total"
Burundi,BDI,2017,0.91,"At least Bachelor's or equivalent, total"
Cabo Verde,CPV,2015,6.93,"At least Bachelor's or equivalent, total"
Cambodia,KHM,2021,4.562,"At least Bachelor's or equivalent, total"
Cameroon,CMR,2018,6.422,"At least Bachelor's or equivalent, total"
Canada,CAN,2023,32.888,"At least Bachelor's or equivalent, total"
Cayman Islands,CYM,2015,29.86,"At least Bachelor's or equivalent, total"
Central African Republic,CAF,2019,1.812,"At least Bachelor's or equivalent, total"
Chad,TCD,2019,1.757,"At least Bachelor's or equivalent, total"
Chile,CHL,2023,21.545,"At least Bachelor's or equivalent, total"
China,CHN,2020,7.68,"At least Bachelor's or equivalent, total"
Colombia,COL,2023,16.473,"At least Bachelor's or equivalent, total"
Comoros,COM,2022,14.056,"At least Bachelor's or equivalent, total"
"Congo, Dem. Rep.",COD,2018,7.414,"At least Bachelor's or equivalent, total"
"Congo, Rep.",COG,2015,7.823,"At least Bachelor's or equivalent, total"
Costa Rica,CRI,2020,21.61,"At least Bachelor's or equivalent, total"
Cote d'Ivoire,CIV,2022,4.765,"At least Bachelor's or equivalent, total"
Croatia,HRV,2022,19.044,"At least Bachelor's or equivalent, total"
Cuba,CUB,2019,15.329,"At least Bachelor's or equivalent, total"
Curacao,CUW,2020,30.17,"At least Bachelor's or equivalent, total"
Cyprus,CYP,2022,33.165,"At least Bachelor's or equivalent, total"
Czechia,CZE,2022,20.973,"At least Bachelor's or equivalent, total"
Denmark,DNK,2022,32.725,"At least Bachelor's or equivalent, total"
Djibouti,DJI,2017,7.064,"At least Bachelor's or equivalent, total"
Dominica,DMA,2021,6.838,"At least Bachelor's or equivalent, total"
Dominican Republic,DOM,2023,18.714,"At least Bachelor's or equivalent, total"
Ecuador,ECU,2022,12.13,"At least Bachelor's or equivalent, total"
"Egypt, Arab Rep.",EGY,2021,0.0,"At least Bachelor's or equivalent, total"
El Salvador,SLV,2023,7.27,"At least Bachelor's or equivalent, total"
Estonia,EST,2022,32.66,"At least Bachelor's or equivalent, total"
Eswatini,SWZ,2023,18.251,"At least Bachelor's or equivalent, total"
Ethiopia,ETH,2021,6.289,"At least Bachelor's or equivalent, total"
Fiji,FJI,2021,10.02,"At least Bachelor's or equivalent, total"
Finland,FIN,2022,28.798,"At least Bachelor's or equivalent, total"
France,FRA,2023,24.355,"At least Bachelor's or equivalent, total"
"Gambia, The",GMB,2023,9.049,"At least Bachelor's or equivalent, total"
Georgia,GEO,2023,34.539,"At least Bachelor's or equivalent, total"
Germany,DEU,2022,29.206,"At least Bachelor's or equivalent, total"
Ghana,GHA,2022,6.23,"At least Bachelor's or equivalent, total"
Greece,GRC,2022,28.93,"At least Bachelor's or equivalent, total"
Grenada,GRD,2020,6.118,"At least Bachelor's or equivalent, total"
Guatemala,GTM,2023,4.162,"At least Bachelor's or equivalent, total"
Guinea,GIN,2019,22.704,"At least Bachelor's or equivalent, total"
Guinea-Bissau,GNB,2022,2.704,"At least Bachelor's or equivalent, total"
Guyana,GUY,2019,4.469,"At least Bachelor's or equivalent, total"
Haiti,HTI,2017,4.531,"At least Bachelor's or equivalent, total"
Honduras,HND,2019,9.63,"At least Bachelor's or equivalent, total"
Hungary,HUN,2022,26.128,"At least Bachelor's or equivalent, total"
Iceland,ISL,2022,34.23,"At least Bachelor's or equivalent, total"
India,IND,2023,13.23,"At least Bachelor's or equivalent, total"
Indonesia,IDN,2023,9.327,"At least Bachelor's or equivalent, total"
"Iran, Islamic Rep.",IRN,2022,18.25,"At least Bachelor's or equivalent, total"
Iraq,IRQ,2021,10.939,"At least Bachelor's or equivalent, total"
Ireland,IRL,2022,37.272,"At least Bachelor's or equivalent, total"
Israel,ISR,2022,38.054,"At least Bachelor's or equivalent, total"
Italy,ITA,2022,16.49,"At least Bachelor's or equivalent, total"
Jamaica,JAM,2022,10.95,"At least Bachelor's or equivalent, total"
Japan,JPN,2020,25.54,"At least Bachelor's or equivalent, total"
Jordan,JOR,2017,20.927,"At least Bachelor's or equivalent, total"
Kazakhstan,KAZ,2019,37.675,"At least Bachelor's or equivalent, total"
Kenya,KEN,2022,6.093,"At least Bachelor's or equivalent, total"
Kiribati,KIR,2020,1.99,"At least Bachelor's or equivalent, total"
"Korea, Dem. People's Rep.",PRK,2022,34.536,"At least Bachelor's or equivalent, total"
"Korea, Rep.",KOR,2023,35.637,"At least Bachelor's or equivalent, total"
Kuwait,KWT,2018,11.12,"At least Bachelor's or equivalent, total"
Kyrgyz Republic,KGZ,2018,24.265,"At least Bachelor's or equivalent, total"
Lao PDR,LAO,2022,5.194,"At least Bachelor's or equivalent, total"
Latvia,LVA,2022,31.95,"At least Bachelor's or equivalent, total"
Lebanon,LBN,2019,22.142,"At least Bachelor's or equivalent, total"
Lesotho,LSO,2019,5.611,"At least Bachelor's or equivalent, total"
Liberia,LBR,2019,5.064,"At least Bachelor's or equivalent, total"
Lithuania,LTU,2022,41.415,"At least Bachelor's or equivalent, total"
Luxembourg,LUX,2022,42.331,"At least Bachelor's or equivalent, total"
"Macao SAR, China",MAC,2014,33.024,"At least Bachelor's or equivalent, total"
Madagascar,MDG,2021,2.927,"At least Bachelor's or equivalent, total"
Malawi,MWI,2020,1.321,"At least Bachelor's or equivalent, total"
Malaysia,MYS,2022,14.56,"At least Bachelor's or equivalent, total"
Maldives,MDV,2019,10.957,"At least Bachelor's or equivalent, total"
Mali,MLI,2022,3.815,"At least Bachelor's or equivalent, total"
Malta,MLT,2022,22.617,"At least Bachelor's or equivalent, total"
Marshall Islands,MHL,2021,4.189,"At least Bachelor's or equivalent, total"
Mauritania,MRT,2019,2.922,"At least Bachelor's or equivalent, total"
Mauritius,MUS,2021,0.0,"At least Bachelor's or equivalent, total"
Mexico,MEX,2020,17.13,"At least Bachelor's or equivalent, total"
"Micronesia, Fed. Sts.",FSM,2014,7.096,"At least Bachelor's or equivalent, total"
Moldova,MDA,2023,20.964,"At least Bachelor's or equivalent, total"
Monaco,MCO,2016,44.176,"At least Bachelor's or equivalent, total"
Mongolia,MNG,2023,31.71,"At least Bachelor's or equivalent, total"
Montenegro,MNE,2022,61.091,"At least Bachelor's or equivalent, total"
Mozambique,MOZ,2022,3.038,"At least Bachelor's or equivalent, total"
Myanmar,MMR,2020,12.356,"At least Bachelor's or equivalent, total"
Namibia,NAM,2016,9.276,"At least Bachelor's or equivalent, total"
Nauru,NRU,2021,1.568,"At least Bachelor's or equivalent, total"
Nepal,NPL,2017,5.819,"At least Bachelor's or equivalent, total"
Netherlands,NLD,2022,36.628,"At least Bachelor's or equivalent, total"
New Caledonia,NCL,2022,19.574,"At least Bachelor's or equivalent, total"
New Zealand,NZL,2020,32.28,"At least Bachelor's or equivalent, total"
Nicaragua,NIC,2021,20.294,"At least Bachelor's or equivalent, total"
Niger,NER,2022,1.145,"At least Bachelor's or equivalent, total"
Nigeria,NGA,2022,3.477,"At least Bachelor's or equivalent, total"
North Macedonia,MKD,2023,21.04,"At least Bachelor's or equivalent, total"
Norway,NOR,2022,31.173,"At least Bachelor's or equivalent, total"
Oman,OMN,2022,19.11,"At least Bachelor's or equivalent, total"
Pakistan,PAK,2021,8.625,"At least Bachelor's or equivalent, total"
Palau,PLW,2020,14.693,"At least Bachelor's or equivalent, total"
Panama,PAN,2023,16.128,"At least Bachelor's or equivalent, total"
Papua New Guinea,PNG,2022,3.14,"At least Bachelor's or equivalent, total"
Paraguay,PRY,2020,14.19,"At least Bachelor's or equivalent, total"
Philippines,PHL,2022,18.076,"At least Bachelor's or equivalent, total"
Poland,POL,2022,28.645,"At least Bachelor's or equivalent, total"
Portugal,PRT,2023,23.958,"At least Bachelor's or equivalent, total"
Puerto Rico,PRI,2017,7.59,"At least Bachelor's or equivalent, total"
Qatar,QAT,2022,30.39,"At least Bachelor's or equivalent, total"
Romania,ROU,2022,15.283,"At least Bachelor's or equivalent, total"
Russian Federation,RUS,2021,41.22,"At least Bachelor's or equivalent, total"
Rwanda,RWA,2023,5.149,"At least Bachelor's or equivalent, total"
Samoa,WSM,2022,16.484,"At least Bachelor's or equivalent, total"
San Marino,SMR,2022,18.39,"At least Bachelor's or equivalent, total"
Sao Tome and Principe,STP,2019,4.848,"At least Bachelor's or equivalent, total"
