Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,12.597,"At least completed upper secondary, total"
Afghanistan,AFG,2021,9.46,"At least completed upper secondary, total"
Albania,ALB,2022,53.268,"At least completed upper secondary, total"
Algeria,DZA,2019,24.108,"At least completed upper secondary, total"
American Samoa,ASM,1980,42.1,"At least completed upper secondary, total"
Andorra,AND,2022,61.22,"At least completed upper secondary, total"
Angola,AGO,2021,22.049,"At least completed upper secondary, total"
Antigua and Barbuda,ATG,2021,73.714,"At least completed upper secondary, total"
Argentina,ARG,2003,42.16,"At least completed upper secondary, total"
Armenia,ARM,2022,95.567,"At least completed upper secondary, total"
Aruba,ABW,2010,32.08,"At least completed upper secondary, total"
Australia,AUS,2023,78.964,"At least completed upper secondary, total"
Austria,AUT,2023,82.559,"At least completed upper secondary, total"
Azerbaijan,AZE,2023,91.81,"At least completed upper secondary, total"
"Bahamas, The",BHS,2023,90.904,"At least completed upper secondary, total"
Bahrain,BHR,2023,66.73,"At least completed upper secondary, total"
Bangladesh,BGD,2022,29.313,"At least completed upper secondary, total"
Barbados,BRB,2019,32.022,"At least completed upper secondary, total"
Belarus,BLR,2023,97.891,"At least completed upper secondary, total"
Belgium,BEL,2022,75.126,"At least completed upper secondary, total"
Belize,BLZ,2020,43.29,"At least completed upper secondary, total"
Benin,BEN,2022,10.692,"At least completed upper secondary, total"
Bermuda,BMU,2016,87.45,"At least completed upper secondary, total"
Bhutan,BTN,2017,17.32,"At least completed upper secondary, total"
Bolivia,BOL,2023,52.124,"At least completed upper secondary, total"
Bosnia and Herzegovina,BIH,2023,72.047,"At least completed upper secondary, total"
Botswana,BWA,2023,45.955,"At least completed upper secondary, total"
Brazil,BRA,2023,60.106,"At least completed upper secondary, total"
British Virgin Islands,VGB,1991,20.21,"At least completed upper secondary, total"
Brunei Darussalam,BRN,2022,68.767,"At least completed upper secondary, total"
Bulgaria,BGR,2022,79.316,"At least completed upper secondary, total"
Burkina Faso,BFA,2023,5.26,"At least completed upper secondary, total"
Burundi,BDI,2017,5.6,"At least completed upper secondary, total"
Cabo Verde,CPV,2015,20.04,"At least completed upper secondary, total"
Cambodia,KHM,2021,11.527,"At least completed upper secondary, total"
Cameroon,CMR,2018,14.258,"At least completed upper secondary, total"
Canada,CAN,2023,89.57,"At least completed upper secondary, total"
Cayman Islands,CYM,2015,90.2,"At least completed upper secondary, total"
Central African Republic,CAF,2019,5.612,"At least completed upper secondary, total"
Chad,TCD,2019,4.557,"At least completed upper secondary, total"
Chile,CHL,2023,68.425,"At least completed upper secondary, total"
China,CHN,2020,31.77,"At least completed upper secondary, total"
Colombia,COL,2023,57.024,"At least completed upper secondary, total"
Comoros,COM,2022,22.792,"At least completed upper secondary, total"
"Congo, Dem. Rep.",COD,2020,7.742,"At least completed upper secondary, total"
"Congo, Rep.",COG,2015,19.99,"At least completed upper secondary, total"
Costa Rica,CRI,2023,39.912,"At least completed upper secondary, total"
Cote d'Ivoire,CIV,2022,14.082,"At least completed upper secondary, total"
Croatia,HRV,2022,79.991,"At least completed upper secondary, total"
Cuba,CUB,2019,55.331,"At least completed upper secondary, total"
Curacao,CUW,2020,51.01,"At least completed upper secondary, total"
Cyprus,CYP,2022,77.655,"At least completed upper secondary, total"
Czechia,CZE,2022,91.169,"At least completed upper secondary, total"
Denmark,DNK,2022,76.802,"At least completed upper secondary, total"
Djibouti,DJI,2017,15.624,"At least completed upper secondary, total"
Dominica,DMA,2021,52.511,"At least completed upper secondary, total"
Dominican Republic,DOM,2023,36.028,"At least completed upper secondary, total"
Ecuador,ECU,2022,45.38,"At least completed upper secondary, total"
"Egypt, Arab Rep.",EGY,2022,54.314,"At least completed upper secondary, total"
El Salvador,SLV,2023,33.81,"At least completed upper secondary, total"
Estonia,EST,2022,86.471,"At least completed upper secondary, total"
Eswatini,SWZ,2023,19.379,"At least completed upper secondary, total"
Ethiopia,ETH,2021,11.811,"At least completed upper secondary, total"
Fiji,FJI,2021,25.928,"At least completed upper secondary, total"
Finland,FIN,2022,81.343,"At least completed upper secondary, total"
France,FRA,2023,78.04,"At least completed upper secondary, total"
French Polynesia,PYF,2007,49.57,"At least completed upper secondary, total"
"Gambia, The",GMB,2023,29.004,"At least completed upper secondary, total"
Georgia,GEO,2023,93.2,"At least completed upper secondary, total"
Germany,DEU,2022,80.797,"At least completed upper secondary, total"
Ghana,GHA,2022,22.942,"At least completed upper secondary, total"
Greece,GRC,2022,68.631,"At least completed upper secondary, total"
Grenada,GRD,2020,49.797,"At least completed upper secondary, total"
Guatemala,GTM,2023,17.564,"At least completed upper secondary, total"
Guinea,GIN,2019,32.504,"At least completed upper secondary, total"
Guinea-Bissau,GNB,2022,15.988,"At least completed upper secondary, total"
Guyana,GUY,2019,35.226,"At least completed upper secondary, total"
Haiti,HTI,2017,11.802,"At least completed upper secondary, total"
Honduras,HND,2023,19.196,"At least completed upper secondary, total"
"Hong Kong SAR, China",HKG,2023,65.759,"At least completed upper secondary, total"
Hungary,HUN,2022,82.64,"At least completed upper secondary, total"
Iceland,ISL,2022,79.153,"At least completed upper secondary, total"
India,IND,2023,33.7,"At least completed upper secondary, total"
Indonesia,IDN,2023,39.105,"At least completed upper secondary, total"
"Iran, Islamic Rep.",IRN,2022,44.955,"At least completed upper secondary, total"
Iraq,IRQ,2021,22.929,"At least completed upper secondary, total"
Ireland,IRL,2022,79.517,"At least completed upper secondary, total"
Israel,ISR,2022,85.323,"At least completed upper secondary, total"
Italy,ITA,2022,52.796,"At least completed upper secondary, total"
Jamaica,JAM,2022,56.366,"At least completed upper secondary, total"
Japan,JPN,2020,85.18,"At least completed upper secondary, total"
Jordan,JOR,2023,42.56,"At least completed upper secondary, total"
Kazakhstan,KAZ,2019,94.315,"At least completed upper secondary, total"
Kenya,KEN,2022,37.576,"At least completed upper secondary, total"
Kiribati,KIR,2020,45.875,"At least completed upper secondary, total"
"Korea, Dem. People's Rep.",PRK,2022,79.771,"At least completed upper secondary, total"
"Korea, Rep.",KOR,2023,80.862,"At least completed upper secondary, total"
Kuwait,KWT,2018,31.2,"At least completed upper secondary, total"
Kyrgyz Republic,KGZ,2018,65.316,"At least completed upper secondary, total"
Lao PDR,LAO,2022,23.988,"At least completed upper secondary, total"
