Country Code,GDP_per_capita
ABW,31096.2050738676
AFE,1493.78044490037
AFG,496.6025042585
AFW,1783.65436491191
AGO,2189.85571407618
ALB,5460.42823730592
AND,41257.8045846483
ARB,6525.21184312385
ARE,44251.4541390148
ARG,9955.97478680428
ARM,4597.22887399548
ASM,12886.1359517218
ATG,18884.3729680383
AUS,54972.7017885437
AUT,49885.9947355204
AZE,4805.75371765917
BDI,210.236494521532
BEL,46716.6227467964
BEN,1130.82135304977
BFA,764.853077774946
BGD,2129.79896954606
BGR,9838.60058985384
BHR,27259.7438599327
BHS,32979.5401279534
BIH,6122.3753450882
BLR,6837.76832136779
BLZ,6190.04792278445
BMU,115798.040775578
BOL,3503.8960106182
BRA,9029.83326742175
BRB,20583.7265786414
BRN,30426.5730284202
BTN,3576.87987077877
BWA,7172.08956480028
CAF,449.228467602439
CAN,46352.8693445211
CEB,16475.161477584
CHE,84121.9310304414
CHI,60568.1085272721
CHL,14495.716721687
CHN,10143.8602206165
CIV,2141.76836170115
CMR,1555.22660476477
COD,557.044161335917
COG,2488.42466724916
COL,6472.54544924705
COM,1519.26386436068
CPV,4380.7811916403
CRI,12884.6859951989
CSS,12356.3216439351
CUB,9232.26115935183
CUW,19220.6866958303
CYM,88254.2903677044
CYP,29703.052734375
CZE,24062.7190013343
DEU,47623.8656074829
DJI,2837.17103336917
DMA,9009.09011545429
DNK,59404.2663247723
DOM,8164.22080932117
DZA,4468.45341883656
EAP,8153.62140587102
EAR,3527.54327176522
EAS,11458.795842252
ECA,6020.75079545102
ECS,24958.3859753607
ECU,6205.05759479761
EGY,2962.98892023003
EMU,39217.3839966029
ERI,
ESP,29776.2011500384
EST,24021.2501413306
ETH,828.70897229725
EUU,35341.5703329216
FCS,1890.22006963616
FIN,48358.1807773701
FJI,5950.82868635508
FRA,40408.2848574751
FRO,63064.6343127366
FSM,3572.65918282222
GAB,7441.1786472281
GBR,42662.5353740311
GEO,4741.2832715876
GHA,2186.18924111824
GIB,
GIN,1031.34146480732
GMB,738.186751987483
GNB,807.359903965493
GNQ,6804.14923073888
GRC,19335.3602002969
GRD,10462.7929159533
GRL,53309.2035905065
GTM,4511.99755157656
GUM,39274.9431424899
GUY,6405.82443444562
HIC,41457.3871652811
HKG,48359.0011950597
HND,2502.32744328073
HPC,976.312547557857
HRV,15563.8167397199
HTI,1352.17204191532
HUN,16786.2136399075
IBD,6459.05649734705
IBT,5125.36118877249
IDA,1430.29036966118
IDB,1865.35605450935
IDN,4106.94856173421
IDX,1211.19958978076
IMN,87127.5517977404
IND,2041.42863698585
INX,
IRL,82508.4659883582
IRN,3831.27894763337
IRQ,5671.8568632942
ISL,68452.23622306
ISR,44140.8289372511
ITA,33812.788724868
JAM,5607.24300668501
JOR,4170.1144003465
JPN,40415.9567649547
KAZ,9457.12614657136
KEN,1960.40808854893
KGZ,1421.99927504102
KHM,2225.87705485686
KIR,1750.99750920482
KNA,23595.4923231291
KOR,31902.4169048194
KWT,31707.8737464917
LAC,8305.98946791718
LAO,2589.32081035237
LBN,8905.88005497437
LBR,658.164180770507
LBY,9963.19489084483
LCA,11794.2056521711
LCN,8830.90045629058
LDC,1097.76355049254
LIC,676.709800653852
LIE,166907.839305016
LKA,4082.69404871533
