Country Code,GINI
ABW,
AFE,
AFG,
AFW,
AGO,51.3
ALB,30.1
AND,
ARB,
ARE,26.4
ARG,41.7
ARM,34.4
ASM,
ATG,
AUS,34.3
AUT,30.8
AZE,
BDI,
BEL,27.2
BEN,37.9
BFA,43
BGD,
BGR,41.3
BHR,
BHS,
BIH,
BLR,25.2
BLZ,
BMU,
BOL,42.6
BRA,53.9
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,32.5
CEB,
CHE,33.1
CHI,
CHL,
CHN,38.5
CIV,37.2
CMR,
COD,
COG,
COL,50.4
COM,
CPV,
CRI,48
CSS,
CUB,
CUW,
CYM,
CYP,32.7
CZE,25
DEU,31.9
DJI,
DMA,
DNK,28.2
DOM,43.7
DZA,
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,45.4
EGY,
EMU,
ERI,
ESP,34.7
EST,30.3
ETH,
EUU,
FCS,
FIN,27.3
FJI,
FRA,32.4
FRO,
FSM,
GAB,
GBR,33.7
GEO,36.4
GHA,
GIB,
GIN,29.6
GMB,
GNB,34.8
GNQ,
GRC,32.9
GRD,43.8
GRL,
GTM,
GUM,
GUY,
HIC,
HKG,
HND,48.9
HPC,
HRV,29.7
HTI,
HUN,29.6
IBD,
IBT,
IDA,
IDB,
IDN,36.3
IDX,
IMN,
IND,34.5
INX,
IRL,30.6
IRN,37.4
IRQ,
ISL,
ISR,38.6
ITA,35.2
JAM,35.6
JOR,
JPN,
KAZ,27.8
KEN,
KGZ,27.7
KHM,
KIR,
KNA,
KOR,33.7
KWT,
LAC,
LAO,38.8
LBN,
LBR,
LBY,
LCA,
LCN,
LDC,
LIC,
LIE,
LKA,
LMC,
LMY,
LSO,
LTE,
LTU,35.7
LUX,35.4
LVA,35.1
MAC,
MAF,
MAR,
MCO,
MDA,25.7
MDG,
MDV,
MEA,
MEX,46
MHL,
MIC,
MKD,33
MLI,36
MLT,28.7
MMR,
MNA,
MNE,36.8
MNG,32.7
MNP,
MOZ,
MRT,
MUS,
MWI,
MYS,41.2
NAC,
NAM,
NCL,
NER,37.3
NGA,35.1
NIC,
NLD,28.1
NOR,27.6
NPL,
NRU,
NZL,
OED,
OMN,
OSS,
PAK,29.6
PAN,49.2
PER,42.4
PHL,42.3
PLW,
PNG,
POL,30.2
PRE,
PRI,
PRK,
PRT,33.5
PRY,46
PSE,
PSS,
PST,
PYF,
QAT,
ROU,35.8
RUS,35.3
RWA,
SAS,
SAU,
SDN,
SEN,38.3
SGP,
SLB,
SLE,35.7
SLV,38.6
SMR,
SOM,
SRB,35
SSA,
SSD,
SSF,
SST,
STP,
SUR,
SVK,25
SVN,24.6
SWE,30
SWZ,
SXM,
SYC,32.1
SYR,
TCA,
TCD,37.5
TEA,
TEC,
TGO,42.5
THA,36.4
TJK,
TKM,
TLA,
TLS,
TMN,
TON,
TSA,
TSS,
TTO,
TUN,
TUR,42.4
TUV,
TZA,40.5
UGA,
UKR,26.1
UMC,
URY,39.7
USA,41.4
UZB,
VCT,
VEN,
VGB,
VIR,
VNM,35.7
VUT,
WLD,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,
