Country Code,2019
ABW,
AFE,
AFG,
AFW,
AGO,
ALB,30.1
AND,
ARB,
ARE,
ARG,43.3
ARM,30
ASM,
ATG,
AUS,
AUT,30.2
AZE,
BDI,
BEL,27.2
BEN,
BFA,
BGD,
BGR,40.3
BHR,
BHS,
BIH,
BLR,25.3
BLZ,
BMU,
BOL,41.6
BRA,53.5
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,31.7
CEB,
CHE,34
CHI,
CHL,
CHN,38.2
CIV,
CMR,
COD,
COG,
COL,51.3
COM,
CPV,
CRI,48.2
CSS,
CUB,
CUW,
CYM,
CYP,31.2
CZE,25.3
DEU,31.8
DJI,
DMA,
DNK,27.7
DOM,41.9
DZA,
EAP,
EAR,
EAS,
ECA,
ECS,
ECU,45.7
EGY,31.9
EMU,
ERI,
ESP,34.3
EST,30.8
ETH,
EUU,
FCS,
FIN,27.7
FJI,30.7
FRA,31.2
FRO,
FSM,
GAB,
GBR,32.8
GEO,35.9
GHA,
GIB,
GIN,
GMB,
GNB,
GNQ,
GRC,33.1
GRD,
GRL,
GTM,
GUM,
GUY,
HIC,
HKG,
HND,48.2
HPC,
HRV,28.9
HTI,
HUN,30
IBD,
IBT,
IDA,
IDB,
IDN,35.4
IDX,
IMN,
IND,33.8
INX,
IRL,30.8
IRN,36.5
IRQ,
ISL,
ISR,38.3
ITA,34.6
JAM,
JOR,
JPN,
KAZ,28
KEN,
KGZ,29.7
KHM,
KIR,27.8
KNA,
KOR,33.2
KWT,
LAC,
LAO,
LBN,
LBR,
LBY,
LCA,
LCN,
LDC,
LIC,
LIE,
LKA,37.7
LMC,
LMY,
LSO,
LTE,
LTU,35.3
LUX,34.2
LVA,34.5
MAC,
MAF,
MAR,
MCO,
MDA,26
MDG,
MDV,29.3
MEA,
MEX,
MHL,35.5
MIC,
MKD,33.5
MLI,
MLT,31
MMR,
MNA,
MNE,35.7
MNG,
MNP,
MOZ,50.3
MRT,32
MUS,
MWI,38.5
MYS,
NAC,
NAM,
NCL,
NER,
NGA,
NIC,
NLD,29.2
NOR,27.7
NPL,
NRU,
NZL,
OED,
OMN,
OSS,
PAK,
PAN,49.8
PER,41.5
PHL,
PLW,
PNG,
POL,28.8
PRE,
PRI,
PRK,
PRT,32.8
PRY,45.7
PSE,
PSS,
PST,
PYF,
QAT,
ROU,34.8
RUS,35.7
RWA,
SAS,
SAU,
SDN,
SEN,
SGP,
SLB,
SLE,
SLV,38.8
SMR,
SOM,
SRB,34.5
SSA,
SSD,
SSF,
SST,
STP,
SUR,
SVK,23.2
SVN,24.4
SWE,29.3
SWZ,
SXM,
SYC,
SYR,
TCA,
TCD,
TEA,
TEC,
TGO,
THA,34.9
TJK,
TKM,
TLA,
TLS,
TMN,
TON,
TSA,
TSS,
TTO,
TUN,
TUR,43.8
TUV,
TZA,
UGA,42.7
UKR,26.6
UMC,
URY,39.7
USA,41.5
UZB,
VCT,
VEN,
VGB,
VIR,
VNM,
VUT,32.3
WLD,
WSM,
XKX,
YEM,
ZAF,
ZMB,
ZWE,50.3
