Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,26.597,"female, 15+"
Albania,ALB,2022,98.3,"female, 15+"
Algeria,DZA,2019,74.21,"female, 15+"
American Samoa,ASM,1980,97.0,"female, 15+"
Angola,AGO,2022,62.5,"female, 15+"
Antigua and Barbuda,ATG,2001,99.0,"female, 15+"
Argentina,ARG,2001,97.0,"female, 15+"
Armenia,ARM,2020,100.0,"female, 15+"
Aruba,ABW,2020,98.0,"female, 15+"
Azerbaijan,AZE,2023,100.0,"female, 15+"
Bahrain,BHR,2023,96.0,"female, 15+"
Bangladesh,BGD,2021,74.0,"female, 15+"
Barbados,BRB,1980,99.5,"female, 15+"
Belarus,BLR,2019,100.0,"female, 15+"
Belize,BLZ,2015,91.632,"female, 15+"
Benin,BEN,2022,36.4,"female, 15+"
Bhutan,BTN,2022,63.9,"female, 15+"
Bolivia,BOL,2020,91.0,"female, 15+"
Bosnia and Herzegovina,BIH,2022,97.1,"female, 15+"
Botswana,BWA,2013,87.451,"female, 15+"
Brazil,BRA,2022,94.92,"female, 15+"
Brunei Darussalam,BRN,2021,96.86,"female, 15+"
Bulgaria,BGR,2021,98.17,"female, 15+"
Burkina Faso,BFA,2022,29.12,"female, 15+"
Burundi,BDI,2022,69.44,"female, 15+"
Cabo Verde,CPV,2022,87.61,"female, 15+"
Cambodia,KHM,2022,79.65,"female, 15+"
Cameroon,CMR,2020,73.12,"female, 15+"
Cayman Islands,CYM,2017,99.0,"female, 15+"
Central African Republic,CAF,2020,26.2,"female, 15+"
Chad,TCD,2022,18.87,"female, 15+"
Chile,CHL,2022,97.12,"female, 15+"
China,CHN,2020,95.0,"female, 15+"
Colombia,COL,2020,96.0,"female, 15+"
Comoros,COM,2022,56.87,"female, 15+"
"Congo, Dem. Rep.",COD,2022,71.73,"female, 15+"
"Congo, Rep.",COG,2021,75.37,"female, 15+"
Costa Rica,CRI,2021,98.1,"female, 15+"
Cote d'Ivoire,CIV,2021,40.255,"female, 15+"
Croatia,HRV,2021,99.24,"female, 15+"
Cuba,CUB,2021,99.717,"female, 15+"
Cyprus,CYP,2021,99.15,"female, 15+"
Dominican Republic,DOM,2022,95.6,"female, 15+"
Ecuador,ECU,2022,93.0,"female, 15+"
"Egypt, Arab Rep.",EGY,2022,68.95,"female, 15+"
El Salvador,SLV,2023,88.0,"female, 15+"
Equatorial Guinea,GNQ,2010,90.676,"female, 15+"
Eritrea,ERI,2018,68.946,"female, 15+"
Estonia,EST,2021,99.88,"female, 15+"
Eswatini,SWZ,2022,90.413,"female, 15+"
Ethiopia,ETH,2019,40.383,"female, 15+"
Fiji,FJI,2021,92.428,"female, 15+"
Gabon,GAB,2022,85.04,"female, 15+"
"Gambia, The",GMB,2022,52.25,"female, 15+"
Georgia,GEO,2022,100.0,"female, 15+"
Ghana,GHA,2020,76.19,"female, 15+"
Greece,GRC,2009,92.0,"female, 15+"
Grenada,GRD,1980,98.3,"female, 15+"
Guam,GUM,2000,99.57,"female, 15+"
Guatemala,GTM,2022,78.609,"female, 15+"
Guinea,GIN,2021,31.27,"female, 15+"
Guinea-Bissau,GNB,2022,41.0,"female, 15+"
Guyana,GUY,2022,89.66,"female, 15+"
Haiti,HTI,2017,63.874,"female, 15+"
Honduras,HND,2019,89.0,"female, 15+"
Hungary,HUN,2021,99.1,"female, 15+"
India,IND,2023,70.0,"female, 15+"
Indonesia,IDN,2020,95.0,"female, 15+"
"Iran, Islamic Rep.",IRN,2022,84.87,"female, 15+"
Iraq,IRQ,2018,76.279,"female, 15+"
Israel,ISR,1983,89.0,"female, 15+"
Italy,ITA,2019,99.0,"female, 15+"
Jamaica,JAM,2022,90.815,"female, 15+"
Jordan,JOR,2023,92.0,"female, 15+"
Kazakhstan,KAZ,2020,99.8,"female, 15+"
Kenya,KEN,2022,80.27,"female, 15+"
Kiribati,KIR,2018,98.612,"female, 15+"
"Korea, Dem. People's Rep.",PRK,2018,99.998,"female, 15+"
"Korea, Rep.",KOR,2018,98.4,"female, 15+"
Kuwait,KWT,2020,95.0,"female, 15+"
Kyrgyz Republic,KGZ,2019,99.5,"female, 15+"
Lao PDR,LAO,2022,83.37,"female, 15+"
Latvia,LVA,2021,99.91,"female, 15+"
Lebanon,LBN,2018,90.0,"female, 15+"
Lesotho,LSO,2022,89.76,"female, 15+"
Liberia,LBR,2017,34.092,"female, 15+"
Libya,LBY,1994,63.7,"female, 15+"
Lithuania,LTU,2021,99.85,"female, 15+"
"Macao SAR, China",MAC,2021,95.88,"female, 15+"
Madagascar,MDG,2022,76.03,"female, 15+"
Malawi,MWI,2022,65.09,"female, 15+"
Malaysia,MYS,2022,95.0,"female, 15+"
Maldives,MDV,2021,98.41,"female, 15+"
Mali,MLI,2020,22.0,"female, 15+"
Malta,MLT,2021,96.42,"female, 15+"
Marshall Islands,MHL,2011,98.0,"female, 15+"
Mauritania,MRT,2021,62.17,"female, 15+"
Mauritius,MUS,2021,90.46,"female, 15+"
Mexico,MEX,2020,94.0,"female, 15+"
Moldova,MDA,2021,99.5,"female, 15+"
