Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2023,68.426,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2022,67.977,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2021,67.457,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2020,67.552,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2019,67.269,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2018,65.872,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2017,65.215,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2016,65.011,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2015,64.124,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2014,63.501,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2013,62.606,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2012,61.637,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2011,59.789,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2010,57.33,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2009,56.438,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2008,55.574,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2007,55.299,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2006,54.048,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2005,56.026,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2004,56.508,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2003,56.139,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2002,55.46,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2001,55.641,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,2000,54.883,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1999,54.124,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1998,53.286,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1997,52.916,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1996,51.862,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1995,51.076,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1994,50.345,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1993,49.718,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1992,49.065,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1991,48.649,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1990,48.695,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1989,48.054,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1988,47.658,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Eastern and Southern,AFE,1987,47.15,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2023,52.202,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2022,51.955,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2021,51.631,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2020,51.29,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2019,51.051,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2018,51.047,"female, 15+"
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Africa Western and Central,AFW,2017,47.376,"female, 15+"
