Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2021,52.0,"male, 15+"
Albania,ALB,2022,98.7,"male, 15+"
Algeria,DZA,2018,87.423,"male, 15+"
American Samoa,ASM,1980,97.0,"male, 15+"
Angola,AGO,2022,82.8,"male, 15+"
Antigua and Barbuda,ATG,2001,98.0,"male, 15+"
Argentina,ARG,2001,97.0,"male, 15+"
Armenia,ARM,2020,100.0,"male, 15+"
Aruba,ABW,2020,97.97,"male, 15+"
Azerbaijan,AZE,2023,100.0,"male, 15+"
Bahrain,BHR,2023,99.0,"male, 15+"
Bangladesh,BGD,2021,79.0,"male, 15+"
Barbados,BRB,1980,99.5,"male, 15+"
Belarus,BLR,2019,100.0,"male, 15+"
Belize,BLZ,2015,90.156,"male, 15+"
Benin,BEN,2022,57.9,"male, 15+"
Bhutan,BTN,2022,79.2,"male, 15+"
Bolivia,BOL,2020,97.0,"male, 15+"
Bosnia and Herzegovina,BIH,2022,99.4,"male, 15+"
Botswana,BWA,2013,86.122,"male, 15+"
Brazil,BRA,2022,94.45,"male, 15+"
Brunei Darussalam,BRN,2021,98.26,"male, 15+"
Bulgaria,BGR,2021,98.69,"male, 15+"
Burkina Faso,BFA,2022,40.07,"male, 15+"
Burundi,BDI,2022,81.84,"male, 15+"
Cabo Verde,CPV,2022,94.47,"male, 15+"
Cambodia,KHM,2022,88.13,"male, 15+"
Cameroon,CMR,2020,83.4,"male, 15+"
Cayman Islands,CYM,2017,99.0,"male, 15+"
Central African Republic,CAF,2020,49.23,"male, 15+"
Chad,TCD,2022,35.78,"male, 15+"
Chile,CHL,2022,97.19,"male, 15+"
China,CHN,2020,98.0,"male, 15+"
Colombia,COL,2020,95.0,"male, 15+"
Comoros,COM,2022,66.55,"male, 15+"
"Congo, Dem. Rep.",COD,2022,89.63,"male, 15+"
"Congo, Rep.",COG,2021,85.94,"male, 15+"
Costa Rica,CRI,2021,97.99,"male, 15+"
Cote d'Ivoire,CIV,2021,60.204,"male, 15+"
Croatia,HRV,2021,99.69,"male, 15+"
Cuba,CUB,2021,99.628,"male, 15+"
Cyprus,CYP,2021,99.58,"male, 15+"
Dominican Republic,DOM,2022,95.4,"male, 15+"
Ecuador,ECU,2022,95.0,"male, 15+"
"Egypt, Arab Rep.",EGY,2022,79.99,"male, 15+"
El Salvador,SLV,2023,92.0,"male, 15+"
Equatorial Guinea,GNQ,2010,97.184,"male, 15+"
Eritrea,ERI,2018,84.373,"male, 15+"
Estonia,EST,2021,99.87,"male, 15+"
Eswatini,SWZ,2022,91.112,"male, 15+"
Ethiopia,ETH,2017,59.241,"male, 15+"
Gabon,GAB,2022,86.3,"male, 15+"
"Gambia, The",GMB,2022,65.31,"male, 15+"
Georgia,GEO,2022,100.0,"male, 15+"
Ghana,GHA,2020,84.49,"male, 15+"
Greece,GRC,2009,96.0,"male, 15+"
Grenada,GRD,1980,98.4,"male, 15+"
Guam,GUM,2000,99.56,"male, 15+"
Guatemala,GTM,2022,88.359,"male, 15+"
Guinea,GIN,2021,61.15,"male, 15+"
Guinea-Bissau,GNB,2022,67.58,"male, 15+"
Guyana,GUY,2022,90.43,"male, 15+"
Haiti,HTI,2017,72.939,"male, 15+"
Honduras,HND,2019,88.0,"male, 15+"
Hungary,HUN,2021,99.1,"male, 15+"
India,IND,2023,85.0,"male, 15+"
Indonesia,IDN,2020,97.0,"male, 15+"
"Iran, Islamic Rep.",IRN,2022,93.0,"male, 15+"
Iraq,IRQ,2017,91.0,"male, 15+"
Israel,ISR,1983,95.0,"male, 15+"
Italy,ITA,2019,99.0,"male, 15+"
Jamaica,JAM,1999,74.0,"male, 15+"
Jordan,JOR,2023,97.0,"male, 15+"
Kazakhstan,KAZ,2020,99.9,"male, 15+"
Kenya,KEN,2022,85.58,"male, 15+"
Kiribati,KIR,2018,97.254,"male, 15+"
"Korea, Dem. People's Rep.",PRK,2018,99.999,"male, 15+"
