Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2021,37.0,"total, 15+"
Afghanistan,AFG,2015,33.754,"total, 15+"
Albania,ALB,2022,98.5,"total, 15+"
Algeria,DZA,2018,81.408,"total, 15+"
American Samoa,ASM,1980,97.0,"total, 15+"
Angola,AGO,2022,72.4,"total, 15+"
Antigua and Barbuda,ATG,2001,99.0,"total, 15+"
Argentina,ARG,2001,97.0,"total, 15+"
Armenia,ARM,2020,100.0,"total, 15+"
Aruba,ABW,2020,97.99,"total, 15+"
Azerbaijan,AZE,2023,100.0,"total, 15+"
Bahrain,BHR,2023,98.0,"total, 15+"
Bangladesh,BGD,2021,76.0,"total, 15+"
Barbados,BRB,1980,99.5,"total, 15+"
Belarus,BLR,2019,100.0,"total, 15+"
Belize,BLZ,2015,90.916,"total, 15+"
Benin,BEN,2022,47.1,"total, 15+"
Bhutan,BTN,2022,72.1,"total, 15+"
Bolivia,BOL,2020,94.0,"total, 15+"
Bosnia and Herzegovina,BIH,2022,98.3,"total, 15+"
Botswana,BWA,2013,86.823,"total, 15+"
Brazil,BRA,2022,94.69,"total, 15+"
Brunei Darussalam,BRN,2021,97.59,"total, 15+"
Bulgaria,BGR,2021,98.42,"total, 15+"
Burkina Faso,BFA,2022,34.49,"total, 15+"
Burundi,BDI,2022,75.54,"total, 15+"
Cabo Verde,CPV,2022,91.0,"total, 15+"
Cambodia,KHM,2022,83.78,"total, 15+"
Cameroon,CMR,2020,78.23,"total, 15+"
Cayman Islands,CYM,2017,99.0,"total, 15+"
Central African Republic,CAF,2020,37.49,"total, 15+"
Chad,TCD,2022,27.28,"total, 15+"
Chile,CHL,2022,97.16,"total, 15+"
China,CHN,2020,97.0,"total, 15+"
Colombia,COL,2020,96.0,"total, 15+"
Comoros,COM,2022,61.71,"total, 15+"
"Congo, Dem. Rep.",COD,2022,80.54,"total, 15+"
"Congo, Rep.",COG,2021,80.61,"total, 15+"
Costa Rica,CRI,2021,98.04,"total, 15+"
Cote d'Ivoire,CIV,2021,50.001,"total, 15+"
Croatia,HRV,2021,99.45,"total, 15+"
Cuba,CUB,2021,99.673,"total, 15+"
Cyprus,CYP,2021,99.36,"total, 15+"
Dominican Republic,DOM,2022,95.5,"total, 15+"
Ecuador,ECU,2022,94.0,"total, 15+"
"Egypt, Arab Rep.",EGY,2022,74.5,"total, 15+"
El Salvador,SLV,2023,90.0,"total, 15+"
Equatorial Guinea,GNQ,2010,94.371,"total, 15+"
Eritrea,ERI,2018,76.571,"total, 15+"
Estonia,EST,2021,99.87,"total, 15+"
Eswatini,SWZ,2022,90.747,"total, 15+"
Ethiopia,ETH,2017,51.771,"total, 15+"
Gabon,GAB,2022,85.69,"total, 15+"
"Gambia, The",GMB,2022,58.67,"total, 15+"
Georgia,GEO,2022,100.0,"total, 15+"
Ghana,GHA,2020,80.38,"total, 15+"
Greece,GRC,2009,94.0,"total, 15+"
Grenada,GRD,1980,98.4,"total, 15+"
Guam,GUM,2000,99.56,"total, 15+"
Guatemala,GTM,2022,83.031,"total, 15+"
Guinea,GIN,2021,45.33,"total, 15+"
Guinea-Bissau,GNB,2022,53.9,"total, 15+"
Guyana,GUY,2022,90.03,"total, 15+"
Haiti,HTI,2017,68.01,"total, 15+"
Honduras,HND,2019,89.0,"total, 15+"
Hungary,HUN,2021,99.1,"total, 15+"
India,IND,2023,77.0,"total, 15+"
Indonesia,IDN,2020,96.0,"total, 15+"
"Iran, Islamic Rep.",IRN,2022,88.96,"total, 15+"
Iraq,IRQ,2017,86.0,"total, 15+"
Israel,ISR,1983,92.0,"total, 15+"
Italy,ITA,2019,99.0,"total, 15+"
Jamaica,JAM,1999,80.0,"total, 15+"
Jordan,JOR,2023,95.0,"total, 15+"
Kazakhstan,KAZ,2020,99.8,"total, 15+"
Kenya,KEN,2022,82.88,"total, 15+"
Kiribati,KIR,2018,97.96,"total, 15+"
"Korea, Dem. People's Rep.",PRK,2018,99.998,"total, 15+"
"Korea, Rep.",KOR,2018,98.8,"total, 15+"
Kuwait,KWT,2020,96.0,"total, 15+"
Kyrgyz Republic,KGZ,2019,99.6,"total, 15+"
Lao PDR,LAO,2022,87.52,"total, 15+"
Latvia,LVA,2021,99.89,"total, 15+"
Lebanon,LBN,2018,93.0,"total, 15+"
Lesotho,LSO,2022,82.01,"total, 15+"
Liberia,LBR,2017,48.301,"total, 15+"
