Country Name,Country Code,Year,Value,Disaggregation
Afghanistan,AFG,2022,26.597,"female, 15+"
Afghanistan,AFG,2021,23,"female, 15+"
Afghanistan,AFG,2015,17.086,"female, 15+"
Afghanistan,AFG,2011,17,"female, 15+"
Afghanistan,AFG,1979,5,"female, 15+"
Albania,ALB,2022,98.3,"female, 15+"
Albania,ALB,2017,99.049,"female, 15+"
Albania,ALB,2012,96,"female, 15+"
Albania,ALB,2011,96,"female, 15+"
Albania,ALB,2008,95,"female, 15+"
Albania,ALB,2001,98,"female, 15+"
Algeria,DZA,2019,74.21,"female, 15+"
Algeria,DZA,2018,75.323,"female, 15+"
Algeria,DZA,2008,68,"female, 15+"
Algeria,DZA,2006,64,"female, 15+"
Algeria,DZA,2002,60,"female, 15+"
Algeria,DZA,1987,36,"female, 15+"
American Samoa,ASM,1980,97,"female, 15+"
Angola,AGO,2022,62.5,"female, 15+"
Angola,AGO,2015,51.926,"female, 15+"
Angola,AGO,2014,53,"female, 15+"
Angola,AGO,2001,54,"female, 15+"
Antigua and Barbuda,ATG,2001,99,"female, 15+"
Argentina,ARG,2001,97,"female, 15+"
Argentina,ARG,1991,96,"female, 15+"
Argentina,ARG,1980,94,"female, 15+"
Armenia,ARM,2020,100,"female, 15+"
Armenia,ARM,2017,100,"female, 15+"
Armenia,ARM,2016,100,"female, 15+"
Armenia,ARM,2011,100,"female, 15+"
Armenia,ARM,2001,99,"female, 15+"
Armenia,ARM,1989,98,"female, 15+"
Aruba,ABW,2020,98,"female, 15+"
Aruba,ABW,2010,97,"female, 15+"
Aruba,ABW,2000,97,"female, 15+"
Azerbaijan,AZE,2023,100,"female, 15+"
Azerbaijan,AZE,2019,100,"female, 15+"
Azerbaijan,AZE,2017,100,"female, 15+"
Azerbaijan,AZE,2016,100,"female, 15+"
Azerbaijan,AZE,2015,100,"female, 15+"
Azerbaijan,AZE,2014,100,"female, 15+"
Azerbaijan,AZE,2013,100,"female, 15+"
Azerbaijan,AZE,2012,100,"female, 15+"
Azerbaijan,AZE,2011,100,"female, 15+"
Azerbaijan,AZE,2010,100,"female, 15+"
Azerbaijan,AZE,2009,100,"female, 15+"
Azerbaijan,AZE,2007,99,"female, 15+"
Azerbaijan,AZE,1999,98,"female, 15+"
Bahrain,BHR,2023,96,"female, 15+"
Bahrain,BHR,2022,96,"female, 15+"
Bahrain,BHR,2011,90.7,"female, 15+"
Bahrain,BHR,2001,84,"female, 15+"
Bahrain,BHR,1991,77,"female, 15+"
Bahrain,BHR,1981,59,"female, 15+"
Bangladesh,BGD,2021,74,"female, 15+"
