iso3,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015
AFG,36,7,1,-1.046000004,0.30058160424232483,0.14084507524967194,-0.844,-0.979,0.2147015631198883,0.37385261058807373,4,1,1,1.9165794837493084,2.3303182125091553,,0.7719020247459412,4,0.5111110210418701,0.42905296325683595,0.32693473815917967,0.075532761
ALB,12,3,1,0.5548999905586243,0.28812891244888306,1.3461538553237915,0.516,0.295,1.7279343605041504,,,,,3.8456219881680793,1.371343970298767,1.473276138305664,0.739932656,17,0.7222223877906799,0.20621265411376954,0.03877744,0.19152738475263809
DZA,103,5,1,0.1428000032901764,0.30101698637008667,1.25,-0.802,-0.04,1.6849408149719238,,,,,5.572534184305149,2.1954774856567383,1.6800544261932373,0.6859911680221558,12,0.5333336591720581,0.4460492706298828,0.17247238159179687,0.14187667156364184
AGO,104,8,1,-0.107299998,0.29884859919548035,0.30837005376815796,-0.944,-0.225,1.4220904111862183,,,,,4.870623244671956,1.647869348526001,,0.5975111126899719,14,0.4777776598930359,0.6868807220458985,0.085000191,0.124564261
ARG,37,4,1,0.809499979,0.2848108112812042,1.0144927501678467,0.439,1.446,2.074854850769043,0.726930559,,,,4.854211349,1.2378036975860596,2.2008824348449707,0.8375205993652344,14,0.9555556774139404,0.20892316818237305,0.17856950759887696,0.10154106298798099
ARM,105,3,1,1.0709999799728394,0.2931149899959564,0.9589040875434875,-0.221,1.51,3.023341417312622,,,,,5.0364403713266075,2.8782496452331543,,0.49929559230804443,17,0.9333333373069763,0.39259952545166016,0.056505889892578126,0.21624422021500414
AUS,67,2,1,2.2179999351501465,0.34724709391593933,2,2.677,2.471,2.4089155197143555,0.5701025128364563,,,,6.913489952909795,1.2282143831253052,1.2906407117843628,0.7674419283866882,,,0.5798206329345703,0.024439461,0.2729636817537243
AUT,144,3,1,2.4790000915527344,0.35176780819892883,1.2068965435028076,2.302,2.361,3.7190165519714355,1,,,,5.730495888898488,1.2412846088409424,1.4520578384399414,0.9993174076080322,,,0.4702110290527344,0,0.28047112057805906
AZE,106,3,1,0.057679999619722366,0.29478850960731506,0.9090909361839294,-1.27,-0.393,0.9153650999069214,,,,,5.711839043181701,2.253004550933838,,0.5605345964431763,10,0.6777780055999756,0.3780126190185547,0.099034443,0.14100677068001177
BHS,,4,0,,,1,,,,,,,,,1.498300313949585,,,,,0,0.4827311706542969,0.16946555229274904
BHR,146,5,1,0.4697999954223633,0.3664514124393463,1.25,-1.49,-0.306,1.6133891344070435,,,,,6.958589580045029,2.720320701599121,,0.7721707224845886,11,,,,
BGD,24,7,1,0.012269999831914902,0.27825260162353516,1,-1.149,1.698,2.0140907764434814,,3,2,1,2.9453373940268714,0.8812946677207947,,0.6921736001968384,10,0.7666670083999634,0.316125374,0.27928747177124025,0.079385842
BRB,147,4,0,,,1,1.491,1.407,2.6737873554229736,,,,,,1.1435531377792358,1.7822881937026978,0.5880244374275208,,,0.2860214996337891,0.095913982,0.2628900949796472
BLR,107,3,1,0.9086999893188477,0.29181620478630066,0.9090909361839294,-1.354,1.302,3.7190165519714355,,,,,4.352386309740822,2.8757266998291016,,0.5413789749145508,18,0.877777636,0.273195744,0.17770179748535156,0.2477671
BEL,148,3,1,2.378999948501587,0.3437337875366211,1.4893616437911987,2.904,1.925,3.7190165519714355,0.8200467824935913,,,,5.922279399327831,1.4398952722549438,1.4820016622543335,0.9328147768974304,,,0.5696230697631836,0,0.2803178254713648
BLZ,149,4,0,,,0.9210526943206787,,,,,,,,4.018734458676564,1.6401565074920654,,,,0.5444446802139282,0.31552582215620156,0.26798009872436523,0.23902439024390243
BEN,52,8,1,0.12200000137090683,0.31002798676490784,0.7368420958518982,0.15,0.994,1.139391303062439,,4,2,2,2.2611996802526413,0.6533153057098389,,0.655345082,16,0.6666666269302368,,,
BTN,53,7,1,0.6274999976158142,0.29095208644866943,0.7142857313156128,1.985,-0.019,1.3476219177246094,,4,4,2,,,,,14,0.6888890266418457,0.6323489379882813,0.024595196,0.14617916428162564
BOL,25,4,1,0.5020999908447266,0.2649505138397217,0.7865168452262878,0.088,0.047,1.5870558023452759,0.7120728492736816,3,2,3,3.9880097993527355,2.0215871334075928,,0.8739351630210876,13,0.7888889908790588,0.2573839569091797,0.066589618,0.23698544826194884
BIH,150,3,1,0.2854999899864197,0.3199112117290497,1.25,-0.316,-0.136,1.524034857749939,,,,,3.8774729710281592,1.4016247987747192,1.620054006576538,0.5631220936775208,14,0.6777780055999756,0.13610371589660644,1.93247789866291e-6,0.2247006429191528
BWA,68,8,1,0.6212999820709229,0.29335078597068787,1,2.131,1.69,2.326347827911377,,,,,5.203722380094548,1.6570559740066528,,0.6407312750816345,18,0.45555534958839417,0.382913704,0.4386930465698242,0.247116702
BRA,19,4,1,0.7382000088691711,0.287718803,1.5555555820465088,0.971,1.979,1.135036587715149,0.5998179316520691,,,,4.799062754951231,1.5190163850784302,,0.8713349103927612,12,0.7222223877906799,0.2839164161682129,0.0275878,0.25583974672447957
BRN,151,2,0,,,1,,,,,,,,6.9304474836447065,3.148186206817627,,,,,,,0.023174710316121047
BGR,152,3,1,1.1649999618530273,0.28474968671798706,1.2068965435028076,0.411,1.854,3.0591042041778564,0.7417882680892944,,,,4.486969194733023,2.024151086807251,1.4211912155151367,0.8536325097084045,18,0.8444443345069885,0.24869890213012696,8.209042996168137e-4,0.2101547910715697
BFA,54,8,1,0.16830000281333923,0.27362221479415894,0.5882353186607361,1.355,0.712,0.9454287886619568,,5,3,2,2.2157626741883174,0.4899446666240692,,0.7351120710372925,11,0.6777780055999756,0.25235767364501954,0.1538210391998291,0.14088747925915698
BDI,69,8,1,-0.641700029,0.3224470019340515,0.43478259444236755,-0.919,-1.083,1.5931792259216309,,3,1,1,2.0165337508008894,1.6164969205856323,,0.6935974955558777,12,0.5555556416511536,,,
KHM,55,2,1,-0.055119999,0.2933954894542694,0.43478259444236755,-1.203,-0.566,1.5870558023452759,,3,1,2,3.088808228428288,2.5896337032318115,,0.7575739026069641,14,0.7666666507720947,0.2371202850341797,0.18368419647216797,0.14168237943960438
CMR,108,8,1,-0.406899989,0.27496859431266785,0.43478259444236755,-1.943,-0.578,1.6341850757598877,,3,2,2,2.784163527178681,0.6953257322311401,,0.7405285239219666,11,0.5555556416511536,0.33354862956597287,0.1296989917755127,0.1548200035095215
CAN,66,6,1,2.0950000286102295,0.33949950337409973,2,2.873,2.229,1.8627318143844604,0.5701025128364563,,,,6.212403666238485,1.0555697679519653,1.0694118738174438,0.8154848217964172,,,0.5615734481811523,0.0096262,0.2710323105559228
