Country Code,GDP_2019
WLD,88149850742945.9
HIC,57351008372783
OED,54179480252802.3
PST,51134888557957.8
IBT,33801024892359.5
IBD,31298751631398.9
LMY,30495388425380.4
MIC,30047537869971.5
EAS,27040135154758.5
UMC,23748825752032.2
NAC,23291130648672.5
LTE,23070237789791.1
ECS,23031892537932.9
USA,21539982000000
EAP,17222812070662.6
TEA,17201604143343.6
EUU,15808398315797
CHN,14279968506271.7
EMU,13587020300289.4
EAR,11834959859719.9
LMC,6298712117939.29
LCN,5659312361702.86
TLA,5413333286802.23
JPN,5117993853016.51
LAC,4803447002170.21
TEC,4175889218401.02
DEU,3957208055215.68
SAS,3658209765835.5
TSA,3658209765835.5
MEA,3598454815841.46
ARB,2899029698316.64
GBR,2851407164907.81
IND,2835606256558.19
FRA,2722793515171.76
IDA,2501780139643.8
ITA,2019606796583.53
BRA,1873288205186.45
FCS,1842632114099.19
SSF,1836204944040.04
TSS,1836204944040.04
SSA,1834336253943.3
CAN,1743725183672.52
RUS,1693115002708.32
CEB,1685123570509.08
KOR,1651422932447.77
ECA,1498314054530.37
MNA,1480176106051.1
TMN,1463042606051.1
PRE,1428927764664.17
IDX,1409009216106.54
ESP,1403496387686.27
AUS,1392723834562.64
MEX,1304106203694.81
LDC,1161448671597.72
IDN,1119099871385.79
IDB,1092770923537.26
AFE,1009721174054.91
NLD,928903005576.469
SAU,838564800000
AFW,826483769985.129
HPC,805115217775.604
TUR,761005915750.925
CHE,721369112726.724
POL,602683770144.88
THA,543976691793.886
BEL,536726344405.489
SWE,532169294165.94
NGA,474517490844.461
ARG,447754683615.225
LIC,447114593744.199
AUT,442983642371.842
ARE,417989721734.494
NOR,408742840909.091
IRL,407124824064.995
ISR,399651065197.871
ZAF,389330032224.269
SGP,376901649222.451
PHL,376823402244.928
MYS,365177721021.516
HKG,363074545072.389
BGD,351231654603.692
DNK,345401473012.615
VNM,334365270496.667
IRN,333519146339.191
COL,323031701192.84
PAK,320909472770.669
EGY,318678815489.749
CHL,278285058719.466
FIN,267014821129.411
CZE,256794209028.77
ROU,251677082534.495
SST,247266169547.517
PRT,240115970063.019
IRQ,233636097800.338
PER,228346006003.648
NZL,212846907683.439
GRC,207305649887.019
OSS,198507093590.896
DZA,193459662090.677
KAZ,181667184854.501
QAT,176371267689.082
HUN,164020460331.659
UKR,153883047509.577
KWT,140856394870.02
MAR,128920266409.458
ECU,107595829000
SVK,105843498304.094
PRI,105126400000
CUB,103427600000
KEN,100378436207.371
ETH,95912607722.3032
LKA,89014978344.1404
DOM,88941372558.2397
OMN,88060858257.4772
GTM,77172317258.6478
MMR,75065106227.6892
AGO,70897962732.0277
LUX,69890505323.5842
PAN,69778991200
LBY,69254496471.6938
BGR,68631726289.2794
GHA,68337969247.7067
UZB,67293639798.3996
CRI,64417670521.3545
BLR,64410122847.3508
URY,62222325807.0578
HRV,61467582193.6824
TZA,61026731925.9213
CIV,60382894697.3557
LTU,55122066225.796
MAC,55082293844.1008
SVN,53909922735.545
SRB,53864693664.5568
COD,51775829877.2088
LBN,51605959131.2741
AZE,48174235294.1176
TKM,45232857142.8571
JOR,44503006338.0282
TUN,41905642418.825
BOL,40895322843.7851
BHR,40446808510.6383
CMR,39667757527.6578
CSS,38046955433.6011
PRY,37925338329.1494
KHM,36685356407.7206
UGA,35348155095.4215
NPL,34186180699.0255
LVA,33099503950.847
SDN,32338079165.2893
EST,31873748770.0313
SLV,26881140000
CYP,26196667099.5303
ZWE,25717409842.4479
HND,24882225741.8119
PNG,24750626040.5917
ISL,24681343649.2952
TTO,23775659262.5735
SEN,23403995992.1354
ZMB,23308667781.2258
SYR,22583045060.0821
BIH,20482608755.379
AFG,18799444490.1128
LAO,18740561512.5555
GEO,17638337116.9126
MLI,17280250810.0321
PSE,17133500000
GAB,16874405465.391
BWA,16725908148.5481
MLT,16337793530.7788
BFA,16032813503.3707
JAM,15830766570.7266
ALB,15585105131.0644
MOZ,15512759046.672
HTI,15016090929.5125
MUS,14436346979.6355
BEN,14391686309.033
MNG,14206359017.5143
MDG,14104664678.5063
COG,13976637779.9763
ARM,13619290539.2116
BRN,13469235348.2211
GIN,13442861496.4454
BHS,13016200000
NER,12889555561.2299
NIC,12699028889.666
MKD,12606338448.547
NAM,12541928303.48
MDA,11736797054.6965
GNQ,11364133549.7478
TCD,11314951091.7283
MWI,11051865579.8121
PSS,10712120523.0197
RWA,10349300380.33
CHI,10032440928.3488
NCL,9475655324.59495
KGZ,9371275264.36735
SOM,8655023960.002
TJK,8300813599.3084
XKX,7899737577.47286
MRT,7894764885.82312
BMU,7423465000
MCO,7383496254.23721
IMN,7314967866.28289
TGO,6992700101.37188
SLE,6523577590.38319
