Country Code,Population_2019
ABW,109203
AFE,675950189
AFG,37856121
AFW,463365429
AGO,32375632
ALB,2854191
AND,76474
ARB,444281315
ARE,9445785
ARG,44973465
ARM,2962500
ASM,50209
ATG,91364
AUS,25334826
AUT,8879920
AZE,10024283
BDI,12255336
BEL,11488980
BEN,12726755
BFA,20961952
BGD,164913055
BGR,6975761
BHR,1483756
BHS,394675
BIH,3345533
BLR,9419758
BLZ,385829
BMU,64107
BOL,11671386
BRA,207455459
BRB,281207
BRN,442680
BTN,764824
BWA,2332083
CAF,4944703
CAN,37618495
CEB,102282674
CHE,8575280
CHI,165639
CHL,19197744
CHN,1407745000
CIV,28193009
CMR,25506095
COD,92947442
COG,5616661
COL,49907985
COM,786578
CPV,514104
CRI,4999553
CSS,3079149
CUB,11202846
CUW,157441
CYM,67327
CYP,1286671
CZE,10671870
DEU,83092962
DJI,1088709
DMA,67880
DNK,5814422
DOM,10894043
DZA,43294546
EAP,2112289891
EAR,3355014793
EAS,2359771090
ECA,248858341
ECS,922811778
ECU,17340021
EGY,107553158
EMU,346454019
ERI,3240194
ESP,47134837
EST,1326898
ETH,115737383
EUU,447303223
FCS,974824119
FIN,5521606
FJI,914899
FRA,67382061
FRO,51795
FSM,110282
GAB,2267706
GBR,66836327
GEO,3720161
GHA,31258945
GIB,35494
GIN,13034346
GMB,2456844
GNB,1967696
GNQ,1670177
GRC,10721582
GRD,115981
GRL,56225
GTM,17103803
GUM,161808
GUY,807665
HIC,1383372477
HKG,7507900
HND,9943633
HPC,824649053
HRV,3949390
HTI,11105163
HUN,9771141
IBD,4845715724
IBT,6594857152
IDA,1749141428
IDB,585824310
IDN,272489381
IDX,1163317118
IMN,83957
IND,1389030312
INX,
IRL,4934340
IRN,87051648
IRQ,41192171
ISL,360563
ISR,9054000
ITA,59729081
JAM,2823271
JOR,10671891
JPN,126633000
KAZ,19209555
KEN,51202827
KGZ,6590211
KHM,16481304
KIR,123921
KNA,46952
KOR,51764822
KWT,4442316
LAC,578311232
LAO,7237636
LBN,5794594
LBR,5043721
LBY,6951033
LCA,177661
LCN,640853375
LDC,1058013514
LIC,660718366
LIE,38563
LKA,21803000
LMC,2926690682
LMY,6364581440
LSO,2209405
LTE,2309008599
LTU,2794137
LUX,620001
LVA,1913822
MAC,672000
MAF,34267
MAR,36210898
MCO,38109
MDA,2664224
MDG,28219554
MDV,487731
MEA,474057593
MEX,125762982
MHL,44007
MIC,5703863074
MKD,1876262
MLI,21068405
MLT,504062
MMR,52640713
MNA,411833977
MNE,622028
MNG,3267673
MNP,48129
MOZ,29884380
MRT,4467708
MUS,1265985
MWI,19025752
MYS,33440596
NAC,366012555
NAM,2650494
NCL,283606
NER,22947757
NGA,209485641
NIC,6483657
NLD,17344874
NOR,5347896
NPL,28414064
NRU,11587
NZL,4979200
OED,1362497757
OMN,4591241
OSS,13761088
PAK,230800899
PAN,4234700
PER,32449303
PHL,110804683
PLW,17798
PNG,9609010
POL,37965475
PRE,972302503
PRI,3193694
PRK,26037632
PRT,10286263
PRY,6515058
PSE,4685306
PSS,2568656
PST,1113651656
PYF,279034
QAT,2638657
ROU,19371648
RUS,145453291
RWA,12776103
SAS,1874070006
SAU,30063799
SDN,45548175
SEN,16352922
SGP,5703569
SLB,728147
SLE,7731991
SLV,6222318
SMR,34663
SOM,16030971
SRB,6945235
SSA,1139217993
SSD,10423384
SSF,1139315618
SST,19408893
STP,213392
SUR,605768
SVK,5454147
SVN,2088385
SWE,10278887
SWZ,1179874
SXM,40385
SYC,97625
SYR,20353534
TCA,43166
TCD,16685223
TEA,2086281644
TEC,462573906
TGO,8463068
THA,71522271
TJK,9529966
TKM,6803944
TLA,625467307
TLS,1300945
TMN,407148671
TON,105669
TSA,1874070006
TSS,1139315618
TTO,1363985
TUN,11875081
TUR,82579440
TUV,10581
TZA,59174891
UGA,42999637
UKR,44957458
UMC,2777172392
URY,3397206
USA,328329953
UZB,32964701
VCT,104167
VEN,28938098
VGB,36395
VIR,106669
VNM,97173776
VUT,291985
WLD,7776892015
WSM,209780
XKX,1788891
YEM,35111408
ZAF,59587885
ZMB,18513839
ZWE,15271368
