Code,Adolescent_Birth_Rate_2019
ABW,20.99
AND,2.53
ARE,3.57
ARG,41.84
ARM,16.71
ASM,36.07
ATG,33.58
AUS,8.67
AUT,5.21
AZE,47.3
BEL,5.14
BEN,83.85
BES,12.89
BFA,100.58
BGD,74
BGR,39.29
BHR,8.59
BIH,9.74
BLZ,68.03
BMU,3.07
BRA,49.78
BRN,10.91
BTN,7.8
BWA,50.22
CAN,6.21
CHE,1.97
CHL,18.9
CIV,96.57
COK,28.3
COL,57.46
CRI,41.86
CUB,50.34
CYP,6.68
CZE,9.85
DEU,6.92
DNK,2.02
DZA,11
ECU,66.7
ESP,5.96
EST,8.52
FIN,4.1
FJI,31.05
FRA,7.5
FRO,6.04
GAB,100.07
GBR,11.06
GEO,29.3
GIN,132.56
GLP,10.58
GRC,8.41
GRL,36.95
GTM,73.12
GUF,73.21
HKG,1.8
HRV,8.8
HUN,21.09
IND,10.6
IRL,5.42
IRN,27.16
ISL,4.39
ISR,7.7
ITA,3.68
JPN,2.73
KAZ,23.2
KEN,51.32
KGZ,36.56
KHM,50.56
KOR,0.84
KWT,5.56
LIE,3.1
LTU,10.06
LUX,3.98
LVA,12.55
MAC,1.33
MAF,26.74
MDA,28.51
MDG,143.01
MDV,5.12
MEX,50.67
MKD,15.58
MLI,144.27
MLT,12.04
MNE,11.44
MNG,30.51
MRT,89.64
MSR,9.73
MTQ,11.21
MUS,23.23
MYS,8.5
MYT,57.34
NCL,12.52
NER,149.59
NGA,80.95
NLD,2.45
NOR,2.26
NPL,76.43
NZL,12.8
OMN,8.23
OWID_KOS,7.6
OWID_WRL,43.34
PAN,68.65
PER,39.41
PLW,34.47
POL,9.4
PRI,19.5
PRT,7.63
PYF,27.97
QAT,8.23
REU,17.15
ROU,35.88
RUS,14.6
SEN,67.42
SGP,3.3
SMR,1.23
SPM,0
SRB,13.64
SUR,50.22
SVK,26.88
SVN,4.57
SWE,3.38
SYC,69
TCA,17.37
THA,29.7
TJK,41.78
TUN,6.2
TUR,17.33
TZA,116.35
UKR,15.53
URY,32.95
USA,16.04
UZB,2.03
VCT,55.2
VEN,76.13
VNM,24.23
WLF,6.1
