,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent Birth Rate
ABW,1.486,600.0,,,,109203.0,20.99
AFG,4.87,52.71913282,1357.9878,0.34,644.0,37856121.0,
AGO,5.442,15.30600786,6118.905,,228.0,32375632.0,
ALB,1.414,116.9708029,12978.101,2.91,5.0,2854191.0,
AND,,180.5617021,,,,76474.0,2.53
ARE,1.334,89.85645933,77203.67,1.94,9.0,9445785.0,3.57
ARG,1.994,14.76674377,18292.318,3.2,33.0,44973465.0,41.84
ARM,1.575,108.5674157,13837.577,4.59,25.0,2962500.0,16.71
ASM,,342.1,,,,50209.0,36.07
ATG,1.468,200.0,,3.29,19.0,91364.0,33.58
AUS,1.657,2.902646343,52049.43,,5.0,25334826.0,8.67
AUT,1.46,101.7833313,43792.855,7.06,5.0,8879920.0,5.21
AZE,1.81,109.5860566,17682.94,,27.0,10024283.0,47.3
BDI,5.271,326.4018692,717.22845,,479.0,12255336.0,
BEL,1.6,359.8414795,41872.395,5.52,5.0,11488980.0,5.14
BEN,5.13,80.00361598,2477.0903,0.47,522.0,12726755.0,83.85
BFA,4.971,60.19005848,1704.966,0.2,283.0,20961952.0,100.58
BGD,2.031,1142.29085,4925.721,,157.0,164913055.0,74.0
BGR,1.58,69.39941046,20592.455,7.77,7.0,6975761.0,39.29
BHR,1.857,1660.526316,38651.6,,15.0,1483756.0,8.59
BHS,1.398,34.26573427,,2.69,82.0,394675.0,
BIH,1.368,73.7254902,12142.863,,5.0,3345533.0,9.74
BLR,1.382,46.79025737,18699.799,,1.0,9419758.0,
BLZ,2.106,15.1249452,,,86.0,385829.0,68.03
BMU,1.3,1292.0,,,,64107.0,3.07
BOL,2.688,9.165512785,6481.3906,1.36,176.0,11671386.0,
BRA,1.703,23.04484232,14640.076,2.43,61.0,207455459.0,49.78
BRB,1.623,637.2093023,11545.848,5.66,47.0,281207.0,
BRN,1.819,75.71157495,,3.88,45.0,442680.0,10.91
BTN,1.46,18.91117479,,2.12,62.0,764824.0,7.8
BWA,2.883,3.541368906,16351.91,2.26,118.0,2332083.0,50.22
CAF,6.008,7.064432245,596.393,,847.0,4944703.0,
CAN,1.47,3.752786328,45529.645,2.56,11.0,37618495.0,6.21
CHE,1.48,195.65,63323.254,4.48,7.0,8575280.0,1.97
CHL,1.545,23.01680901,22740.72,2.03,15.0,19197744.0,18.9
CHN,1.496,143.4792677,19238.18,5.0,20.0,1407745000.0,
CIV,4.538,62.06918239,4011.7122,,483.0,28193009.0,96.57
CMR,4.623,41.460938,2812.2148,,440.0,25506095.0,
COD,6.253,29.09728502,844.172,,541.0,92947442.0,
COG,4.296,11.83894583,4187.507,,292.0,5616661.0,
COL,1.765,41.7260027,14468.964,1.69,65.0,49907985.0,57.46
COM,4.125,395.1612903,1900.3983,,237.0,786578.0,
CPV,1.932,123.0769231,7202.767,,42.0,514104.0,
CRI,1.632,91.24559342,15496.82,1.15,19.0,4999553.0,41.86
