Country,beds_per_1000_2018
JPN,13
KOR,12.42
BLR,9.71
DEU,7.98
MNG,7.86
BGR,7.47
AUT,7.27
RUS,7.17
HUN,6.95
ROU,6.92
UKR,6.79
CZE,6.68
CEB,6.51063136889452
POL,6.44
LTU,6.27
FRA,6.16
BRB,6.06
MDA,5.77
TEC,5.71060411048308
SVK,5.7
BEL,5.61
PST,5.54180101517868
HRV,5.52
LVA,5.47
HIC,5.46292618735795
EUU,5.40490599369101
KAZ,5.31
SRB,5.3
HTI,5.26
ECS,5.2375766404517
EMU,5.22397241755289
KNA,5
MDV,4.95
UZB,4.73
OED,4.69043887188585
CHE,4.63
CHN,4.6
ECA,4.58732653778588
EST,4.53
LUX,4.51
TJK,4.43
EAS,4.4105904194269
SVN,4.36
LTE,4.31819789306168
ARM,4.28
KGZ,4.28
MLT,4.25
GEO,4.24
GRC,4.24
TKM,4.19
CUB,4.15
MKD,4.14
LKA,3.93
AZE,3.9
MNE,3.86
ARG,3.71
EAP,3.65628208560456
TEA,3.65628208560456
FIN,3.61
MUS,3.54
NOR,3.53
UMC,3.45770971949136
BRN,3.45
PRT,3.44
SYC,3.24
LBY,3.2
GRD,3.18
ITA,3.17
NLD,3.17
ISR,3.12
DMA,3.11
WLD,3.05203708040098
IRL,2.99
ESP,2.97
IBD,2.92429215369591
OSS,2.90344071623198
SUR,2.88
ISL,2.87
SST,2.84676696357299
ALB,2.84
TUR,2.8
USA,2.78
NAC,2.7575879804222
LBN,2.73
BHS,2.72
CSS,2.63127067016097
NZL,2.63
DNK,2.62
IBT,2.61462861889705
CAN,2.56
MIC,2.52651315540603
GBR,2.5
SGP,2.5
URY,2.49
LMY,2.44765912832187
BIH,2.38
TTO,2.38
BWA,2.35
CYP,2.27
BRA,2.26
SAU,2.15
SWE,2.14
THA,2.1
CHL,2.07
KWT,2.01
CPV,1.97
PAN,1.96
IRN,1.95
MYS,1.93
LAC,1.90421524384146
LCN,1.87760168827281
TLA,1.83591231410046
BHR,1.8
TUN,1.79
COL,1.73
BTN,1.72
JAM,1.7
GUY,1.69
IND,1.65
LBR,1.64
MEA,1.63750112205863
ARE,1.63
PER,1.59
MNA,1.54155894031727
TMN,1.54155894031727
EAR,1.49506665970238
LAO,1.47
LMC,1.45108149787744
SAS,1.42395196665597
TSA,1.42395196665597
DJI,1.42
JOR,1.41
ECU,1.4
ARB,1.33025349339171
EGY,1.26
SYR,1.26
BOL,1.25
DOM,1.24
IDN,1.16
CRI,1.11
OMN,1.09
VEN,1.09
ERI,1.08
SLV,1.07
IRQ,1.05
MMR,1.05
BLZ,1.03
QAT,1.03
MEX,0.98
PHL,0.95
NIC,0.92
PRY,0.9
BGD,0.88
SOM,0.87
MOZ,0.76
KHM,0.74
RWA,0.72
SDN,0.66
TGO,0.65
HND,0.64
PAK,0.51
BEN,0.46
GTM,0.44
TZA,0.43
AFG,0.4
MLI,0.25
NPL,0.25
NER,0.24
