Country,Population_Density_2010
ARB,26.27252158
CSS,16.99394838
EAS,90.5121746
EAP,123.7291574
EMU,130.02375
ECS,32.5201301
ECA,17.81288975
EUU,120.0759016
HPC,31.87531748
HIC,33.16725736
NOC,29.73359027
OEC,33.52018868
LCN,29.24236031
LAC,28.9592875
LDC,41.41337248
LMY,60.25139645
LIC,52.92582003
LMC,110.5328079
MEA,34.06936104
MNA,38.33587739
MIC,61.6177144
NAC,18.83339601
INX,
OED,36.06984937
OSS,9.909104698
PSS,42.31925364
SST,12.23973468
SAS,342.2910702
SSF,36.16710817
SSA,36.18044053
UMC,42.36197435
WLD,53.15362444
AFG,52.71913282
ALB,116.9708029
DZA,14.89163385
ASM,342.1
AND,180.5617021
AGO,15.30600786
ATG,200
ARG,14.76674377
ARM,108.5674157
ABW,600
AUS,2.902646343
AUT,101.7833313
AZE,109.5860566
BHS,34.26573427
BHR,1660.526316
BGD,1142.29085
BRB,637.2093023
BLR,46.79025737
BEL,359.8414795
BLZ,15.1249452
BEN,80.00361598
BMU,1292
BTN,18.91117479
BOL,9.165512785
BIH,73.7254902
BWA,3.541368906
BRA,23.04484232
BRN,75.71157495
BGR,69.39941046
BFA,60.19005848
BDI,326.4018692
KHM,80.0985724
CMR,41.460938
CAN,3.752786328
CPV,123.0769231
CYM,234.2916667
CAF,7.064432245
TCD,8.915978399
CHI,807.1157895
CHL,23.01680901
CHN,143.4792677
COL,41.7260027
COM,395.1612903
COD,29.09728502
COG,11.83894583
CRI,91.24559342
CIV,62.06918239
HRV,78.94924946
CUB,105.7685081
CUW,321.3252236
CYP,119.3722944
CZE,136.1812298
DNK,130.732972
DJI,38.35202761
DMA,90.66666667
DOM,205.4428808
ECU,58.24206797
EGY,81.49178763
SLV,298.8899614
GNQ,24.95543672
ERI,52.01980198
EST,31.61122906
ETH,82.95
FRO,35.04172662
FJI,47.07170224
FIN,17.65054294
FRA,118.4950517
PYF,74.04371585
GAB,5.840804129
GMB,172.9
GEO,77.88935932
DEU,234.5801899
GHA,107.1987343
GIB,2924.4
GRC,87.78898371
GRL,0.137736631
GRD,305.8823529
GUM,331.4814815
GTM,134.2758492
GIN,40.62347387
GNB,53.87624467
GUY,3.835407671
HTI,362.5907112
HND,67.92385378
HKG,6783.109405
HUN,110.4606208
ISL,3.172069825
IND,411.8858869
IDN,132.410009
IRN,45.42261521
IRQ,73.74976976
IRL,64.9586297
IMN,145.3842105
ISR,352.310536
ITA,205.6265724
JAM,249.4921514
JPN,349.659808
JOR,68.11218743
KAZ,6.046227359
KEN,71.18283726
KIR,123.4567901
PRK,202.1925089
KOR,503.3470649
KSV,166.712593
KWT,153.5353535
KGZ,28.40458811
LAO,26.86741768
LVA,36.00836282
LBN,413.1964809
LSO,71.5085639
LBR,41.46594684
LBY,3.611739432
LIE,225.2
LTU,52.4493378
LUX,195.7528958
MAC,19428.57143
MKD,81.68120539
MDG,35.61921794
MWI,158.0504879
MYS,86.4434637
MDV,1053.333333
MLI,12.59639892
MLT,1300
MHL,300.2111111
MRT,3.356941884
MUS,631.0344828
MYT,551.3513514
MEX,58.34666529
FSM,158.5714286
MDA,123.9948481
MCO,17703.5
MNG,1.773990062
MNE,46.98884758
MAR,71.59085817
MOZ,29.74388972
MMR,73.39178602
NAM,2.773020442
NPL,208.9919777
NLD,492.6178476
NCL,13.51203501
NZL,16.58881167
NIC,48.10536812
NER,12.24599353
NGA,173.9440254
MNP,132.4282609
NOR,16.00484499
OMN,8.991922456
PAK,225.1880967
PLW,44.50434783
PAN,47.30965833
PNG,15.14375304
PRY,16.2446514
PER,22.715625
PHL,312.7779455
POL,125.5226824
PRT,116.3004264
PRI,448.4780158
QAT,151.7687662
ROU,93.18438668
RUS,8.655500105
RWA,430.6445075
WSM,65.01766784
SMR,525.5666667
STP,171.875
SAU,12.76835265
SEN,64.58214304
SRB,83.36382346
SYC,189.1304348
SLE,81.91845853
SGP,7252.857143
SXM,1113.248771
SVK,112.9132876
SVN,101.7378352
SLB,19.22115041
SOM,14.87391207
ZAF,41.16281176
SSD,
ESP,92.36367281
LKA,332.6423218
KNA,200
LCA,285.2459016
MAF,555.7904412
VCT,279.4871795
SDN,18.32996633
SUR,3.365384615
SWZ,61.39534884
SWE,22.85421845
CHE,195.65
SYR,111.3489081
TJK,49.14975707
TZA,50.62203658
THA,135.2972264
TLS,75.58843309
TGO,110.8291965
TON,144.4444444
TTO,261.4035088
TUN,67.90036045
TUR,94.52853969
TKM,10.72925755
TCA,40.37263158
TUV,327.5666667
UGA,167.278915
UKR,79.18076365
ARE,89.85645933
GBR,257.2314306
USA,33.81816949
URY,19.18066507
UZB,66.35637047
VUT,19.68826907
VEN,32.68975682
VNM,280.3495985
VIR,314.2857143
PSE,689.7009967
YEM,45.55751274
ZMB,17.38925732
ZWE,32.49579941
