Country,Maternal_mortality_ratio
Belarus,1.1116852
Poland,1.865067
Norway,1.9932039
Israel,2.666812
Iceland,2.8032403
North Macedonia,2.879425
Czechia,3.1841486
Seychelles,3.5403209
Netherlands,3.9909272
Malta,4.053976
Spain,4.0544796
Slovenia,4.366176
Australia,4.424252
Sweden,4.534765
Slovakia,4.650179
Germany,4.7063684
Italy,4.8875346
Croatia,4.890743
Belgium,4.90796
Turkmenistan,5.000818
Denmark,5.013271
Japan,5.194234
Estonia,5.368494
Montenegro,5.3853955
Albania,5.4292927
Ireland,5.4302154
Bosnia and Herzegovina,5.5474706
Greece,5.6988354
Austria,5.826252
Qatar,6.29586
South Korea,6.411811
Luxembourg,6.626671
Singapore,6.6709085
Kuwait,6.782403
Bulgaria,7.167728
Europe,7.176001
Switzerland,7.4348674
Finland,7.6740785
France,7.802404
Lithuania,7.84595
New Zealand,7.88525
Russia,8.779488
United Arab Emirates,9.046694
United Kingdom,9.209214
Portugal,10.980132
Canada,11.000969
Ukraine,11.274244
Romania,11.401431
Serbia,11.469519
High-income countries,11.59503
Bahrain,13.7449465
Kazakhstan,13.802158
Moldova,14.480334
Hungary,14.581458
Chile,15.135506
Oman,15.868879
Saudi Arabia,16.778631
Turkey,16.87219
Tajikistan,17.351973
Iran,17.439306
Lebanon,17.85494
Puerto Rico,17.928343
Costa Rica,17.989922
Uruguay,18.063942
Antigua and Barbuda,18.86736
Egypt,19.053669
United States,19.452078
China,20.355984
Palestine,20.956968
Grenada,21.082874
Malaysia,21.516418
Latvia,23.367216
Armenia,25.101397
Georgia,26.21116
Azerbaijan,27.599777
Trinidad and Tobago,27.612192
Thailand,28.804407
Sri Lanka,30.29092
Uzbekistan,30.710342
Syria,31.331284
Argentina,33.94483
Fiji,36.582302
Cuba,38.607304
Tunisia,39.022385
Upper-middle-income countries,39.870316
Jordan,41.6902
Mongolia,42.204525
El Salvador,44.65384
Brunei,44.928795
Panama,47.07842
Barbados,47.097385
Cape Verde,48.023323
Maldives,48.531975
North America,49.94429
Mauritius,50.344814
Vietnam,51.061047
Kyrgyzstan,53.67608
Mexico,55.528206
Bhutan,57.318043
Samoa,58.08098
Cyprus,58.516308
Brazil,59.183395
Saint Vincent and the Grenadines,59.866055
Saint Lucia,61.20825
Peru,62.554718
Colombia,63.146347
Honduras,65.09502
Micronesia (country),68.88322
Libya,69.01573
Paraguay,69.763466
South America,71.170906
Ecuador,71.337585
Iraq,71.92842
Nicaragua,74.43286
Bahamas,77.080315
Morocco,78.01027
Belize,78.44683
Algeria,79.49121
Philippines,82.29472
Oceania,82.51404
Tonga,83.91316
Jamaica,90.51271
Vanuatu,96.58236
Suriname,97.626686
Guatemala,98.41375
Asia,104.967354
North Korea,107.161026
Dominican Republic,109.27616
Kiribati,110.35632
India,115.7112
Guyana,117.705696
South Africa,125.39751
Solomon Islands,127.143265
Zambia,144.87115
Sao Tome and Principe,149.1564
Mozambique,160.25722
Botswana,162.26726
Laos,165.27107
Bolivia,171.43248
Bangladesh,172.13548
Yemen,175.63083
Pakistan,177.72769
Venezuela,179.33174
Indonesia,181.13231
Papua New Guinea,199.06436
Nepal,201.15369
Cambodia,209.22379
Myanmar,214.53392
World,215.09969
Namibia,217.95181
Eswatini,218.30118
Equatorial Guinea,219.04198
Gabon,228.56612
Angola,233.09625
Comoros,243.56516
East Timor,249.48761
Djibouti,256.895
Lower-middle-income countries,262.69165
Tanzania,266.82196
Ghana,272.81525
Burkina Faso,276.62408
Senegal,277.48837
Rwanda,281.36148
Uganda,283.32196
Sudan,292.99188
Ethiopia,311.85242
Eritrea,337.75058
Zimbabwe,358.5035
Haiti,358.7682
Congo,370.06052
Malawi,391.79285
Low-income countries,422.18454
Madagascar,423.27182
Cameroon,423.89328
Niger,431.96274
Togo,434.5416
Mali,439.5398
Sierra Leone,459.50473
Mauritania,461.18158
Africa,487.91956
Kenya,511.50998
Gambia,511.59033
Burundi,517.9052
Cote d'Ivoire,522.2657
Benin,542.4605
Democratic Republic of Congo,543.47815
Guinea,567.718
Lesotho,598.6392
Guinea-Bissau,648.2358
Somalia,650.67755
Afghanistan,663.4275
Liberia,683.75757
Central African Republic,867.63416
Chad,1076.1641
Nigeria,1135.4136
South Sudan,1274.817
