Entity,Code,Year,Adolescent Birth Rate
Algeria,DZA,2019,11.0
American Samoa,ASM,2019,36.07
Andorra,AND,2019,2.53
Antigua and Barbuda,ATG,2019,33.58
Argentina,ARG,2019,41.84
Armenia,ARM,2019,16.71
Aruba,ABW,2019,20.99
Australia,AUS,2019,8.67
Australia and New Zealand (UN),,2019,9.76
Austria,AUT,2019,5.21
Azerbaijan,AZE,2019,47.3
Bahrain,BHR,2019,8.59
Bangladesh,BGD,2019,74.0
Belgium,BEL,2019,5.14
Belize,BLZ,2019,68.03
Benin,BEN,2019,83.85
Bermuda,BMU,2019,3.07
Bhutan,BTN,2019,7.8
Bonaire Sint Eustatius and Saba,BES,2019,12.89
Bosnia and Herzegovina,BIH,2019,9.74
Botswana,BWA,2019,50.22
Brazil,BRA,2019,49.78
Brunei,BRN,2019,10.91
Bulgaria,BGR,2019,39.29
Burkina Faso,BFA,2019,100.58
Cambodia,KHM,2019,50.56
Canada,CAN,2019,6.21
Central and Southern Asia (UN),,2019,29.69
Chile,CHL,2019,18.9
Colombia,COL,2019,57.46
Cook Islands,COK,2019,28.3
Costa Rica,CRI,2019,41.86
Cote d'Ivoire,CIV,2019,96.57
Croatia,HRV,2019,8.8
Cuba,CUB,2019,50.34
Cyprus,CYP,2019,6.68
Czechia,CZE,2019,9.85
Denmark,DNK,2019,2.02
Eastern and South-Eastern Asia (UN),,2019,21.24
Ecuador,ECU,2019,66.7
Estonia,EST,2019,8.52
Europe (UN),,2019,11.01
Europe and Northern America (UN),,2019,12.79
Faroe Islands,FRO,2019,6.04
Fiji,FJI,2019,31.05
Finland,FIN,2019,4.1
France,FRA,2019,7.5
French Guiana,GUF,2019,73.21
French Polynesia,PYF,2019,27.97
Gabon,GAB,2019,100.07
Georgia,GEO,2019,29.3
Germany,DEU,2019,6.92
Greece,GRC,2019,8.41
Greenland,GRL,2019,36.95
Guadeloupe,GLP,2019,10.58
Guatemala,GTM,2019,73.12
Guinea,GIN,2019,132.56
Hong Kong,HKG,2019,1.8
Hungary,HUN,2019,21.09
Iceland,ISL,2019,4.39
India,IND,2019,10.6
Iran,IRN,2019,27.16
Ireland,IRL,2019,5.42
Israel,ISR,2019,7.7
Italy,ITA,2019,3.68
Japan,JPN,2019,2.73
Kazakhstan,KAZ,2019,23.2
Kenya,KEN,2019,51.32
Kosovo,OWID_KOS,2019,7.6
Kuwait,KWT,2019,5.56
Kyrgyzstan,KGZ,2019,36.56
Latin America and the Caribbean (UN),,2019,57.3
Latvia,LVA,2019,12.55
Least Developed Countries (LDCs),,2019,95.86
Liechtenstein,LIE,2019,3.1
Lithuania,LTU,2019,10.06
Luxembourg,LUX,2019,3.98
Macao,MAC,2019,1.33
Madagascar,MDG,2019,143.01
Malaysia,MYS,2019,8.5
Maldives,MDV,2019,5.12
Mali,MLI,2019,144.27
Malta,MLT,2019,12.04
Martinique,MTQ,2019,11.21
Mauritania,MRT,2019,89.64
Mauritius,MUS,2019,23.23
Mayotte,MYT,2019,57.34
Mexico,MEX,2019,50.67
Moldova,MDA,2019,28.51
Mongolia,MNG,2019,30.51
Montenegro,MNE,2019,11.44
Montserrat,MSR,2019,9.73
Nepal,NPL,2019,76.43
Netherlands,NLD,2019,2.45
New Caledonia,NCL,2019,12.52
New Zealand,NZL,2019,12.8
Niger,NER,2019,149.59
Nigeria,NGA,2019,80.95
North Macedonia,MKD,2019,15.58
Northern Africa (UN),,2019,44.48
Northern Africa and Western Asia (UN),,2019,39.55
Northern America (UN),,2019,15.59
Norway,NOR,2019,2.26
Oceania (UN),,2019,27.73
Oman,OMN,2019,8.23
Palau,PLW,2019,34.47
Panama,PAN,2019,68.65
Peru,PER,2019,39.41
Poland,POL,2019,9.4
Portugal,PRT,2019,7.63
Puerto Rico,PRI,2019,19.5
Qatar,QAT,2019,8.23
Reunion,REU,2019,17.15
Romania,ROU,2019,35.88
Russia,RUS,2019,14.6
Saint Martin (French part),MAF,2019,26.74
Saint Pierre and Miquelon,SPM,2019,0.0
Saint Vincent and the Grenadines,VCT,2019,55.2
San Marino,SMR,2019,1.23
Senegal,SEN,2019,67.42
Serbia,SRB,2019,13.64
Seychelles,SYC,2019,69.0
Singapore,SGP,2019,3.3
Slovakia,SVK,2019,26.88
Slovenia,SVN,2019,4.57
Small Island Developing States (SIDS),,2019,52.41
South Korea,KOR,2019,0.84
Spain,ESP,2019,5.96
Sub-Saharan Africa (UN),,2019,103.55
Suriname,SUR,2019,50.22
Sweden,SWE,2019,3.38
Switzerland,CHE,2019,1.97
Tajikistan,TJK,2019,41.78
Tanzania,TZA,2019,116.35
Thailand,THA,2019,29.7
Tunisia,TUN,2019,6.2
Turkey,TUR,2019,17.33
Turks and Caicos Islands,TCA,2019,17.37
Ukraine,UKR,2019,15.53
United Arab Emirates,ARE,2019,3.57
United Kingdom,GBR,2019,11.06
United States,USA,2019,16.04
Uruguay,URY,2019,32.95
Uzbekistan,UZB,2019,2.03
Venezuela,VEN,2019,76.13
Vietnam,VNM,2019,24.23
Wallis and Futuna,WLF,2019,6.1
World,OWID_WRL,2019,43.34
