,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019
AFG,4.87,52.71913282,1357.9878,0.34,644
ALB,1.414,116.9708029,12978.101,2.91,5
ARE,1.334,89.85645933,77203.67,1.94,9
ARG,1.994,14.76674377,18292.318,3.2,33
ARM,1.575,108.5674157,13837.577,4.59,25
AUT,1.46,101.7833313,43792.855,7.06,5
BEL,1.6,359.8414795,41872.395,5.52,5
BEN,5.13,80.00361598,2477.0903,0.47,522
BFA,4.971,60.19005848,1704.966,0.2,283
BGR,1.58,69.39941046,20592.455,7.77,7
BOL,2.688,9.165512785,6481.3906,1.36,176
BRA,1.703,23.04484232,14640.076,2.43,61
BRB,1.623,637.2093023,11545.848,5.66,47
BWA,2.883,3.541368906,16351.91,2.26,118
CAN,1.47,3.752786328,45529.645,2.56,11
CHE,1.48,195.65,63323.254,4.48,7
CHL,1.545,23.01680901,22740.72,2.03,15
CHN,1.496,143.4792677,19238.18,5,20
COL,1.765,41.7260027,14468.964,1.69,65
CRI,1.632,91.24559342,15496.82,1.15,19
CUB,1.551,105.7685081,7648.704,4.19,40
CZE,1.71,136.1812298,32247.395,6.6,3
DEU,1.54,234.5801899,46647.793,7.8,4
DNK,1.7,130.732972,50689.68,2.59,5
DOM,2.344,205.4428808,17713.52,1.42,103
ECU,2.088,58.24206797,10124.076,1.32,74
EGY,3.001,81.49178763,13205.406,1.13,18
ESP,1.23,92.36367281,34123.387,2.95,3
EST,1.66,31.61122906,30067.395,4.46,5
FIN,1.35,17.65054294,40701.465,2.83,9
FRA,1.86,118.4950517,39065.71,6,8
GBR,1.63,257.2314306,38406.53,2.43,9
GEO,2.011,77.88935932,14360.359,4.94,26
GMB,4.869,172.9,2010.5322,1.11,474
GTM,2.61,134.2758492,7969.431,0.43,100
HND,2.427,67.92385378,5186.5303,0.71,67
HRV,1.47,78.94924946,26986.752,5.6,5
HTI,2.919,362.5907112,1546.4222,5.03,349
HUN,1.55,110.4606208,29451.855,6.76,14
IDN,2.215,132.410009,12801.671,1.4,158
IND,2.109,411.8858869,7765.593,1.62,116
IRL,1.71,64.9586297,60257.082,2.91,6
ISL,1.74,3.172069825,42145.594,2.83,3
ISR,3.01,352.310536,36648.918,3.07,3
ITA,1.27,205.6265724,36224.293,3.18,5
JAM,1.37,249.4921514,7481.6685,1.71,93
JOR,2.918,68.11218743,9151.479,1.37,41
JPN,1.36,349.659808,38268.79,12.72,4
KAZ,2.9,6.046227359,26491.857,6.72,14
KGZ,3.3,28.40458811,5304.841,4.19,47
KWT,2.159,153.5353535,71533.516,2.35,7
LAO,2.571,26.86741768,7168.1904,1.27,153
LBN,2.13,413.1964809,10341.159,2.73,20
LKA,2.019,332.6423218,10705.481,4.02,30
LTU,1.61,52.4493378,30863.32,5.96,7
LUX,1.34,195.7528958,55484.777,4.19,6
LVA,1.61,36.00836282,27220.303,5.3,22
MAR,2.382,71.59085817,8400.127,0.73,76
MKD,1.34,81.68120539,14050.995,4.22,3
MNE,1.77,46.98884758,20941.805,3.81,6
MNG,2.937,1.773990062,13442.906,8.22,40
MOZ,4.783,29.74388972,1087.836,0.7,150
MRT,4.521,3.356941884,3680.3662,3.64,431
NER,6.961,12.24599353,1007.72095,0.27,410
NIC,2.377,48.10536812,5092.8413,0.94,75
NLD,1.57,492.6178476,49669.867,2.91,4
NOR,1.53,16.00484499,88366.22,3.4,2
NPL,2.08,208.9919777,3013.5178,0.28,182
NZL,1.72,16.58881167,38250.12,2.51,7
OMN,2.776,8.991922456,47988.65,1.16,16
PAN,2.375,47.30965833,23557.02,1.92,51
PER,2.242,22.715625,12762.967,1.64,72
PHL,2.805,312.7779455,8370.666,0.99,81
POL,1.44,125.5226824,32468.402,6.11,2
PRT,1.43,116.3004264,28992.059,3.53,11
PRY,2.525,16.2446514,8762.771,1.01,70
ROU,1.77,93.18438668,26197.904,7.06,10
RUS,1.504,8.655500105,25437.107,7.08,7
RWA,3.939,430.6445075,2198.0662,0.74,281
SAU,2.504,12.76835265,53516.91,2.18,18
SEN,4.517,64.58214304,2660.6816,5.35,258
SGP,1.14,7252.857143,80320.086,2.63,6
SLV,1.838,298.8899614,9218.905,1.08,39
SRB,1.52,83.36382346,17097.686,5.35,10
SVK,1.57,112.9132876,27519.287,5.68,5
SVN,1.61,101.7378352,32673.762,4.25,3
SWE,1.71,22.85421845,47126.13,2.05,5
SYC,2.36,189.1304348,31055.39,3.19,3
SYR,2.835,111.3489081,2494.7612,1.39,33
THA,1.352,135.2972264,16421.072,2.33,29
TJK,3.281,49.14975707,5507.5454,4.36,16
TKM,2.74,10.72925755,17234.555,4.09,5
TTO,1.643,261.4035088,25773.006,1.92,26
TUN,2.148,67.90036045,10913.846,2.38,40
TUR,1.967,94.52853969,27361.988,2.99,17
TZA,4.864,50.62203658,3057.3286,0.63,262
UKR,1.228,79.18076365,7749.0996,6.26,9
URY,1.546,19.18066507,20181.94,2.49,20
USA,1.706,33.81816949,58487.465,2.74,20
UZB,2.785,66.35637047,12559.401,4.78,30
VEN,2.25,32.68975682,5267.1753,0.99,177
