,Births_per_woman_2019,Population_Density_2010,GDP_per_capita_2022,beds_per_1000,Maternal_mortality_ratio _2019,Population_2019,Adolescent_Birth_Rate_2019,GGHD_as_CHE_2019,VDem_2015,WBregion_2015,sample_polity_2015,Capacity_2015,Capacity_sd_2015,censusfreq_2015,v2clrspct_2015,v2stfisccap_2015,v2terr_2015,infcap_2015,irai_qbfm_2015,irai_qpa_2015,irai_erm_2015,milexpercap_2015,milpercap_2015,policecap_2015,StateHist50s_2015,bti_mo_2015,wbstat_2015,tax_inc_tax_2015,tax_trade_tax_2015,taxrev_gdp_2015,GDP_2019,GDP_per_Capita_2019,Gini_2019,Share_of_Pop_in_Extreme Poverty_2019,Urban_population_percent_2019
ABW,1.486,600.0,,,,109203.0,20.99,,,,,,,,,,,,,,,,,,,,,,,,3395798882.68156,31096.2050738676,,,43.546
AFG,4.87,52.71913282,1357.9878,0.34,644.0,37856121.0,,3.0,36.0,7.0,1.0,-1.046000004,0.3005816042423248,0.1408450752496719,-0.844,-0.979,0.2147015631198883,0.3738526105880737,4.0,1.0,1.0,1.9165794837493084,2.3303182125091557,,0.7719020247459412,4.0,0.5111110210418701,0.4290529632568359,0.3269347381591796,0.075532761,18799444490.1128,496.6025042585,,,25.754
AGO,5.442,15.30600786,6118.905,,228.0,32375632.0,,45.0,104.0,8.0,1.0,-0.107299998,0.2988485991954803,0.3083700537681579,-0.944,-0.225,1.4220904111862185,,,,,4.870623244671956,1.647869348526001,,0.5975111126899719,14.0,0.4777776598930359,0.6868807220458985,0.085000191,0.124564261,70897962732.0277,2189.85571407618,,,66.177
ALB,1.414,116.9708029,12978.101,2.91,5.0,2854191.0,,43.0,12.0,3.0,1.0,0.5548999905586243,0.288128912448883,1.3461538553237915,0.516,0.295,1.7279343605041504,,,,,3.8456219881680793,1.371343970298767,1.473276138305664,0.739932656,17.0,0.7222223877906799,0.2062126541137695,0.03877744,0.191527384752638,15585105131.0644,5460.42823730592,30.1,0.0,61.229
AND,,180.5617021,,,,76474.0,2.53,71.0,,,,,,,,,,,,,,,,,,,,,,,3155149347.80639,41257.8045846483,,,87.984
ARE,1.334,89.85645933,77203.67,1.94,9.0,9445785.0,3.57,51.0,207.0,5.0,1.0,0.7111999988555908,0.3478074967861175,1.3207546472549438,1.488,-0.135,1.811910629272461,,,,,,2.0542941093444824,,,17.0,,0.065471535,0.069860525,0.121736881,417989721734.494,44251.4541390148,,,86.789
ARG,1.994,14.76674377,18292.318,3.2,33.0,44973465.0,41.84,61.0,37.0,4.0,1.0,0.809499979,0.2848108112812042,1.014492750167847,0.439,1.446,2.074854850769043,0.726930559,,,,4.854211349,1.2378036975860596,2.2008824348449707,0.8375205993652344,14.0,0.9555556774139404,0.208923168182373,0.1785695075988769,0.1015410629879809,447754683615.225,9955.97478680428,43.3,,91.991
ARM,1.575,108.5674157,13837.577,4.59,25.0,2962500.0,16.71,12.0,105.0,3.0,1.0,1.0709999799728394,0.2931149899959564,0.9589040875434875,-0.221,1.51,3.023341417312622,,,,,5.036440371326608,2.8782496452331543,,0.4992955923080444,17.0,0.9333333373069764,0.3925995254516601,0.0565058898925781,0.2162442202150041,13619290539.2116,4597.22887399548,30.0,1.0300698,63.219
ASM,,342.1,,,,50209.0,36.07,,,,,,,,,,,,,,,,,,,,,,,,647000000.0,12886.1359517218,,,87.147
ATG,1.468,200.0,,3.29,19.0,91364.0,33.58,58.0,,,,,,,,,,,,,,,,,,,,,,,1725351851.85185,18884.3729680383,,,24.506
AUS,1.657,2.902646343,52049.43,,5.0,25334826.0,8.67,74.0,67.0,2.0,1.0,2.2179999351501465,0.3472470939159393,2.0,2.677,2.471,2.4089155197143555,0.5701025128364563,,,,6.913489952909795,1.2282143831253052,1.2906407117843628,0.7674419283866882,,,0.5798206329345703,0.024439461,0.2729636817537243,1392723834562.64,54972.7017885437,,,86.124
