,SkilledHealthStaffInPercOfTotal,beds_per_1000,Women_Political_Empowerment,Democracy_Index,Public_health_spending,GDP_per_capita,GINI,Capacity,Maternal_mortality_ratio,Population,birthRatePer1000population
ABW,,,,,,30082.1276448186,,,,108908.0,10.807
AFG,58.8,0.4,0.503,0.179,4.0,491.337221382603,,-1.019000053,663.4275,36743039.0,37.624
AGO,,,0.719,0.162,43.0,2538.59139143371,51.3,-0.094159998,233.09625,31297155.0,40.057
ALB,99.8,2.84,0.841,0.432,43.0,5365.48934672897,30.1,0.5756999850273132,5.4292927,2866376.0,10.898
AND,,,,,71.0,42819.7745797624,,,,75162.0,7.159
ARE,99.2,1.63,0.444,0.093,52.0,45689.8570040215,26.4,1.0509999990463257,9.046694,9346701.0,10.248
ARG,99.5,3.71,0.856,0.637,59.0,11752.7998922979,41.7,0.8348000049591064,33.94483,44654882.0,15.332
ARM,,4.28,0.878,0.404,12.0,4196.00562301769,34.4,0.9925000071525574,25.101397,2969000.0,12.3
ASM,,,,,,12552.0546868861,,,,50908.0,17.204
ATG,,,,,60.0,18273.4270684912,,,18.86736,90926.0,10.822
AUS,98.7,,0.925,0.813,71.0,57196.4220783778,34.3,2.2909998893737793,4.424252,24963258.0,12.6
AUT,98.4,7.27,0.93,0.784,74.0,51194.0749841299,30.8,2.486000061035156,5.826252,8840521.0,9.7
AZE,99.4,3.9,0.63,0.059,23.0,4739.7943123408,,0.1316999942064285,27.599777,9939771.0,14.0
BDI,86.2,,0.558,0.044,28.0,224.89939239264,,-0.492399991,517.9052,11859446.0,37.215
BEL,,5.61,0.944,0.837,77.0,47487.2100392561,27.2,2.5190000534057617,4.90796,11427054.0,10.4
BEN,78.1,0.46,0.851,0.478,16.0,1151.74096952152,37.9,-0.01856,542.4605,12383347.0,36.955
BFA,,,0.772,0.491,43.0,777.465618514048,43.0,0.2542999982833862,276.62408,20438288.0,36.006
BGD,52.7,0.88,0.669,0.1,21.0,1965.24372731467,,-0.004775,172.13548,163523103.0,20.069
BGR,93.0,7.47,0.904,0.514,58.0,9436.14479876055,41.3,1.1970000267028809,7.167728,7025037.0,9.3
BHR,99.6,1.8,0.474,0.043,59.0,26324.4066549559,,0.5058000087738037,13.7449465,1503091.0,13.641
BHS,99.0,2.72,,,50.0,32124.4051059669,,,77.080315,392717.0,11.263
BIH,99.9,2.38,0.818,0.347,70.0,6047.84584261133,,0.3601999878883362,5.5474706,3387000.0,8.803
BLR,,9.71,0.858,0.112,71.0,6360.05310087258,25.2,0.9563999772071838,1.1116852,9438785.0,9.9
BLZ,94.8,1.03,,,69.0,6031.28139580144,,,78.44683,380226.0,21.144
BMU,99.4,,,,,113204.82210838,,,,63831.0,8.407
BOL,71.5,1.25,0.784,0.345,73.0,3500.72642189371,42.6,0.4733999967575073,171.43248,11508368.0,22.574
BRA,98.8,2.26,0.757,0.617,41.0,9300.66164936497,53.9,0.805400014,59.183395,206107261.0,14.022
BRB,99.0,6.06,0.882,0.655,45.0,20055.915870771,,,47.097385,280711.0,11.539
BRN,99.8,3.45,,,95.0,30988.1190497851,,,44.928795,437810.0,14.924
BTN,96.2,1.72,0.796,0.498,80.0,3400.20417159422,,0.7710999846458435,57.318043,759759.0,12.941
BWA,,2.35,0.732,0.577,69.0,7407.95940141786,,0.5475999712944031,162.26726,2299141.0,25.897
CAF,,,0.605,0.245,6.0,455.243962859534,,-1.42900002,867.63416,4878657.0,43.838
CAN,98.0,2.56,0.895,0.765,70.0,46539.1761570405,32.5,2.128000020980835,11.000969,37072620.0,10.1
CHE,,4.63,0.936,0.867,34.0,85217.3691512274,33.1,2.382999897003174,7.4348674,8514329.0,10.3
CHL,99.8,2.07,0.853,0.805,51.0,15659.4808675628,,1.52400004863739,15.135506,18893191.0,11.698
CHN,,4.6,0.626,0.048,56.0,9905.40638304527,38.5,0.7297999858856201,20.355984,1402760000.0,10.86
CIV,,,0.66,0.348,29.0,2130.86619381144,37.2,-0.282299995,522.2657,27464173.0,35.081
CMR,69.0,,0.749,0.127,10.0,1610.69641591017,,-0.413899988,423.89328,24806383.0,36.899
COD,85.2,,0.537,0.122,15.0,528.256019777898,,-1.059000015,543.47815,90047644.0,42.887
COG,,,0.429,0.113,35.0,2694.43413191427,,-0.343199998,370.06052,5483118.0,32.784
COL,98.4,1.73,0.769,0.538,72.0,6816.96818309544,50.4,0.609000027,63.146347,49024465.0,14.195
COM,,,0.506,0.171,16.0,1540.71132257526,,-1.044999957,243.56516,771590.0,30.91
CPV,97.3,1.97,0.807,0.7,60.0,4294.96510456428,,0.4891999959945678,48.023323,513415.0,15.451
CRI,98.5,1.11,0.907,0.836,72.0,12590.2493781614,48.0,0.8003000020980835,17.989922,4957818.0,13.622
CUB,99.9,4.15,0.674,0.06,89.0,8911.46205964193,,0.5722000002861023,38.607304,11227118.0,10.172
CUW,,,,,,19119.1243941688,,,,159336.0,10.5
CYM,,,,,,83865.5531568184,,,,65941.0,10.584
CYP,98.3,2.27,0.875,0.723,42.0,29599.986328125,32.7,1.187999963760376,58.516308,1270737.0,11.029
CZE,,6.68,0.916,0.717,85.0,23705.9329811299,25.0,1.5920000076293943,3.1841486,10629928.0,10.7
DEU,96.2,7.98,0.956,0.834,77.0,48874.8595028454,31.9,2.122999906539917,4.7063684,82905782.0,9.5
DJI,,1.42,0.578,0.114,53.0,2718.0853229414,,-0.4745,256.895,1071882.0,22.313
DMA,100.0,3.11,,,66.0,8137.56520624242,,,,68174.0,11.636
DNK,95.3,2.62,0.962,0.893,84.0,61324.7665045565,28.2,2.9570000171661377,5.013271,5793636.0,10.6
DOM,99.7,1.24,0.829,0.286,61.0,7934.98141208525,43.7,0.6204000115394592,109.27616,10782053.0,19.848
DZA,,,0.776,0.156,65.0,4577.21029180491,,0.091420002,79.49121,42505035.0,24.063
ECU,95.9,1.4,0.857,0.46,64.0,6303.91892523596,45.4,0.5770000219345093,71.337585,17049547.0,17.523
EGY,,1.26,0.412,0.113,28.0,2484.70315630508,,0.1782000064849853,19.053669,105682094.0,23.592
ERI,,1.08,0.161,0.007,15.0,,,-1.100000024,337.75058,3192760.0,29.195
ESP,99.9,2.97,0.941,0.776,70.0,30592.1264795541,34.7,1.9739999771118164,4.0544796,46797754.0,7.9
EST,99.6,4.53,0.949,0.862,74.0,23618.1361254581,30.3,1.6859999895095823,5.368494,1321977.0,10.9
ETH,,,0.706,0.132,23.0,747.968143637014,,0.0149400001391768,311.85242,112664152.0,33.394
FIN,99.6,3.61,0.947,0.846,79.0,49654.2497035329,27.3,2.3970000743865967,7.6740785,5515525.0,8.6
FJI,,,0.693,0.285,60.0,6085.41979209299,,0.5307000279426575,36.582302,917180.0,19.601
FRA,98.1,6.16,0.943,0.797,76.0,41418.1766484844,32.4,1.6619999408721924,7.802404,67158348.0,11.3
FRO,,,,,,62524.0387361638,,,,50998.0,13.6
FSM,,,,,12.0,3566.58690371125,,,68.88322,109909.0,23.056
GAB,,,0.783,0.214,59.0,7624.2775233771,,-0.156800002,228.56612,2212318.0,30.537
GBR,,2.5,0.926,0.809,80.0,43203.8141057739,33.7,1.7899999618530271,9.209214,66460344.0,11.0
GEO,99.8,4.24,0.868,0.52,39.0,4804.0546040444,36.4,0.7768999934196472,26.21116,3726549.0,14.334
GHA,78.9,,0.796,0.632,56.0,2196.61290615342,,0.1218999996781349,272.81525,30637585.0,28.388
GIB,,,,,,,,,,34854.0,12.0
GIN,55.3,,0.489,0.151,17.0,933.273615633705,29.6,-0.235400006,567.718,12704774.0,36.329
GMB,82.7,,0.742,0.417,33.0,696.219806960615,,-0.066459998,511.59033,2399632.0,32.324
GNB,,,0.708,0.322,7.0,808.531613218504,34.8,-0.84829998,648.2358,1922168.0,32.374
GNQ,,,0.453,0.052,22.0,8102.47084834031,,-0.673399985,219.04198,1616422.0,32.4
GRC,99.9,4.24,0.918,0.77,52.0,19873.4015238771,32.9,1.4190000295639038,5.6988354,10732882.0,8.1
GRD,,3.18,,,41.0,10083.021279225,43.8,,21.082874,115691.0,12.395
GRL,,,,,,54545.135857765,,,,56023.0,14.6
GTM,,0.44,0.695,0.415,36.0,4352.94651790253,,0.1298999935388565,98.41375,16845685.0,24.315
GUM,,,,,,37195.9503070464,,,,162679.0,19.818
GUY,95.1,1.69,0.875,0.457,60.0,6048.38697180418,,0.1265999972820282,117.705696,791556.0,21.236
HKG,,,0.894,0.274,,48537.5668888343,,,,7452600.0,7.2
HND,,0.64,0.721,0.232,39.0,2464.64241531918,48.9,0.248099997639656,65.09502,9765210.0,23.392
HRV,,5.52,0.903,0.617,82.0,15460.4183295843,29.7,1.437000036239624,4.890743,3988775.0,9.0
HTI,,5.26,0.377,0.24,12.0,1496.38048970156,,-1.190000057,358.7682,10962362.0,24.222
HUN,,6.95,0.841,0.373,69.0,16425.2050299693,29.6,1.534000039100647,14.581458,9775564.0,9.6
IDN,93.6,1.16,0.727,0.464,49.0,3860.95353077708,36.3,0.6498000025749207,181.13231,269951846.0,17.146
IMN,,,,,,89393.8244248812,,,,83805.0,8.995
IND,,1.65,0.673,0.36,34.0,1966.25455171679,34.5,0.7998999953269958,115.7112,1374659064.0,17.91
IRL,,2.99,0.922,0.825,73.0,81248.3135388,30.6,2.065999984741211,5.4302154,4867316.0,12.5
IRN,,1.95,0.359,0.124,44.0,4631.78709016514,37.4,0.5177000164985657,17.439306,86117998.0,16.664
IRQ,95.6,1.05,0.525,0.256,49.0,5646.68932074742,,-0.736100018,71.92842,40265624.0,27.664
ISL,98.2,2.87,0.919,0.795,83.0,74452.1890731447,,,2.8032403,352721.0,12.0
ISR,,3.12,0.884,0.632,65.0,42233.2610344935,38.6,1.7760000228881836,2.666812,8882800.0,20.8
ITA,99.9,3.17,0.922,0.788,74.0,34746.3441392416,35.2,1.440999984741211,4.8875346,60421760.0,7.3
JAM,99.7,1.7,0.897,0.693,65.0,5578.10346083169,35.6,0.6319000124931335,90.51271,2820097.0,12.305
JOR,99.7,1.41,0.647,0.242,43.0,4145.43989673265,,0.4379000067710876,41.6902,10462306.0,22.677
JPN,99.9,13.0,0.801,0.76,84.0,39751.1330982711,,1.8070000410079956,5.194234,126811000.0,7.4
KAZ,99.9,5.31,0.773,0.109,61.0,9472.48527327758,27.8,0.7914000153541565,13.802158,18932727.0,21.702
KEN,,,0.736,0.391,43.0,1836.45275528993,,-0.05164,511.50998,50207107.0,29.037
KGZ,99.8,4.28,0.801,0.325,48.0,1283.52040333083,27.7,0.2671000063419342,53.67608,6444078.5,27.1
KHM,,0.74,0.578,0.072,27.0,2036.67377566578,,-0.073579997,209.22379,16274522.0,23.372
KIR,,,,,81.0,1912.73798131035,,,110.35632,122084.0,28.112
KNA,100.0,5.0,,,46.0,22901.3816403197,,,,47008.0,13.108
KOR,,12.42,0.883,0.797,57.0,33447.1562836166,33.7,1.9609999656677248,6.411811,51585058.0,6.4
KWT,99.9,2.01,0.396,0.293,88.0,32067.9623689512,,0.3172999918460846,6.782403,108908.0,12.825
LAO,,1.47,0.484,0.078,39.0,2545.1075420815,38.8,0.2892000079154968,165.27107,36743039.0,23.599
LBN,,2.73,0.564,0.29,47.0,9174.53666204759,,-0.084600002,17.85494,452195915.0,18.09
LBR,,1.64,0.825,0.429,16.0,692.203127129794,,-0.564700007,683.75757,31297155.0,32.955
LBY,,3.2,0.344,0.15,72.0,11196.5854810844,,-0.889800012,69.01573,2866376.0,19.844
LCA,100.0,,,,47.0,11642.7403185172,,,61.20825,75162.0,11.979
LIE,,,,,,174988.775083446,,,,2969000.0,9.9
LKA,,3.93,0.734,0.479,46.0,4360.58473469252,,0.2784999907016754,30.29092,50908.0,15.15
LSO,86.6,,0.77,0.447,50.0,1170.65569702819,,0.2152000069618225,598.6392,8840521.0,27.361
LTU,100.0,6.27,0.916,0.75,66.0,19368.5391045353,35.7,1.4639999866485596,7.84595,11859446.0,9.5
LUX,,4.51,0.881,0.795,85.0,116786.511654677,35.4,,6.626671,11427054.0,10.3
LVA,,5.47,0.952,0.745,60.0,17252.1710428626,35.1,1.4630000591278076,23.367216,12383347.0,10.0
